gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",Orphanet_70474,0.682696120459241,Leigh syndrome with cardiomyopathy: NA,ENSG00000198786
MT-ATP6,5,BAT,KIDNEY,LIVER,SKM-GN,SKM-VL,"",Orphanet_644,0.678383179425544,"NARP syndrome: Neuropathy, Ataxia, and Retinitis Pigmentosa (NARP) syndrome is a clinically heterogeneous progressive condition characterized by a combination of proximal neurogenic muscle weakness, sensory-motor neuropathy, ataxia, and pigmentary retinopathy.",ENSG00000198899
MT-ATP6,5,BAT,KIDNEY,LIVER,SKM-GN,SKM-VL,"",Orphanet_104,0.673639271412565,Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198899
MT-ATP6,5,BAT,KIDNEY,LIVER,SKM-GN,SKM-VL,"",Orphanet_255210,0.637419847289073,"Maternally-inherited Leigh syndrome: Maternally inherited Leigh syndrome is a rare subtype of Leigh syndrome characterized clinically by encephalopathy, lactic acidosis, seizures, cardiomyopathy, respiratory disorders and developmental delay, with onset in infancy or early childhood, and resulting from maternally-inherited mutations in mitochondrial DNA.",ENSG00000198899
ALDH2,5,BAT,BLOOD,COLON,HEART,SKM-VL,"",MONDO_0007079,0.633084838122457,alcohol dependence: Physical and psychological dependence on alcohol.,ENSG00000111275
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",MONDO_0005148,0.607822183267742,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000198786
NDUFA12,5,BAT,BLOOD,HEART,SKM-GN,SKM-VL,"",MONDO_0005148,0.607452603413057,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000184752
TUBB6,5,ADRNL,BAT,LUNG,SKM-GN,SKM-VL,"",EFO_0003060,0.607438011369589,"non-small cell lung carcinoma: A group of at least three distinct histological types of lung cancer, including non-small cell squamous cell carcinoma, adenocarcinoma, and large cell carcinoma. Non-small cell lung carcinomas have a poor response to conventional chemotherapy.",ENSG00000176014
TUBB6,5,ADRNL,BAT,LUNG,SKM-GN,SKM-VL,"",MONDO_0007254,0.606762983722546,breast cancer: A primary or metastatic malignant neoplasm involving the breast. The vast majority of cases are carcinomas arising from the breast parenchyma or the nipple. Malignant breast neoplasms occur more frequently in females than in males.,ENSG00000176014
TUBB6,5,ADRNL,BAT,LUNG,SKM-GN,SKM-VL,"",EFO_0000181,0.606505427468848,"head and neck squamous cell carcinoma: A squamous cell carcinoma that arises from any of the following anatomic sites: lip and oral cavity, nasal cavity, paranasal sinuses, pharynx, larynx, and salivary glands.",ENSG00000176014
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",EFO_0000400,0.60501174286025,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000198786
NDUFA12,5,BAT,BLOOD,HEART,SKM-GN,SKM-VL,"",EFO_0000400,0.602836611423825,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000184752
TUBB6,5,ADRNL,BAT,LUNG,SKM-GN,SKM-VL,"",EFO_0000305,0.602191985464942,breast carcinoma: A carcinoma that arises from epithelial cells of the breast,ENSG00000176014
TUBB6,5,ADRNL,BAT,LUNG,SKM-GN,SKM-VL,"",EFO_0000616,0.600775157805281,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",ENSG00000176014
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0004911,0.878540853331099,familial hypercholesterolemia: Familial hypercholesterolemia is is an autosomal dominant disorder characterized by elevation of serum cholesterol bound to low density lipoprotein (OMIM),ENSG00000130164
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",Orphanet_391665,0.845492647062811,Homozygous familial hypercholesterolemia: NA,ENSG00000130164
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",Orphanet_309015,0.840010753037644,"Familial lipoprotein lipase deficiency: Familial lipoprotein lipase deficiency is a rare genetic disorder is which a person lacks the enzyme lipoprotein lipase, a protein needed to break down fat molecules. Deficiency of this enzyme prevents affected individuals from properly digesting certain fats. This results in the accumulation of fatty droplets called chylomicrons in the blood and an increase in the blood concentration of triglycerides. Symptoms include episodes of abdominal pain, recurrent inflammation of the pancreas (pancreatitis), abnormal enlargement of the liver and/or spleen (hepatosplenomegaly), and the development of skin lesions known as erruptive xanthomas. Familial lipoprotein lipase deficiency is caused by changes (mutations) in the LPL gene. It is inherited in an autosomal recessive pattern. Treatment aims to control symptoms and blood triglyceride levels with a very low-fat diet. Treatment for individual symptoms (i.e. pancreatitis) involves following established treatment guidelines.",ENSG00000175445
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_367,0.826273750143396,"Glycogen storage disease due to glycogen branching enzyme deficiency: Glycogen branching enzyme (GBE) deficiency (Andersen's disease or amylopectinosis), or glycogen storage disease type 4 (GSD4), is a rare and severe form of glycogen storage disease which accounts for approximately 3% of all the glycogen storage diseases.",ENSG00000114480
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",MONDO_0007750,0.814771106001393,"hypercholesterolemia, familial, 1: NA",ENSG00000130164
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",HP_0003124,0.804989165698506,Hypercholesterolemia: An increased concentration of cholesterol in the blood.,ENSG00000130164
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_308712,0.791391729995029,"Glycogen storage disease due to glycogen branching enzyme deficiency, adult neuromuscular form: NA",ENSG00000114480
TPM1,4,BLOOD,SKM-GN,SKM-VL,SPLEEN,"","",EFO_0000538,0.783985622065263,"hypertrophic cardiomyopathy: A form of CARDIAC MUSCLE disease, characterized by left and/or right ventricular hypertrophy (HYPERTROPHY, LEFT VENTRICULAR; HYPERTROPHY, RIGHT VENTRICULAR), frequent asymmetrical involvement of the HEART SEPTUM, and normal or reduced left ventricular volume. Risk factors include HYPERTENSION; AORTIC STENOSIS; and gene MUTATION; (FAMILIAL HYPERTROPHIC CARDIOMYOPATHY).",ENSG00000140416
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",Orphanet_104,0.78219319406039,Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198695
CHD3,4,BLOOD,HEART,LUNG,SPLEEN,"","",EFO_0010643,0.781966615988522,"Snijders Blok-Campeau syndrome: Snijders Blok-Campeau syndrome (SNIBCPS) is an autosomal dominant neurodevelopmental disorder characterized by global developmental delay with impaired intellectual development and delayed speech acquisition. Affected individuals tend to have expressive language deficits, with speech apraxia and dysarthria. Other features include macrocephaly and characteristic facial features, such as prominent forehead and hypertelorism, hypotonia, and joint laxity. The severity of the neurologic deficits and presence of nonneurologic features is variable (summary by Snijders Blok et al., 2018).",ENSG00000170004
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_206583,0.765053391090376,"Adult polyglucosan body disease: Adult polyglucosan body disease (APBD) is a glycogen storage disease of adults characterized by progressive upper and lower motor neuron dysfunction, progressive neurogenic bladder and cognitive difficulties that can lead to dementia.",ENSG00000114480
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_308670,0.761693238239025,"Glycogen storage disease due to glycogen branching enzyme deficiency, congenital neuromuscular form: NA",ENSG00000114480
TPM1,4,BLOOD,SKM-GN,SKM-VL,SPLEEN,"","",Orphanet_54260,0.760928172995231,"Left ventricular noncompaction: Left ventricular noncompaction (LVNC) is a rare cardiomyopathy characterized anatomically by prominent left ventricular trabeculae and deep intratrabecular recesses causing progressive systolic and diastolic dysfunction, conduction abnormalities, and occasionally thromboembolic events.",ENSG00000140416
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",Orphanet_79211,0.753162679968461,Combined hyperlipidemia: NA,ENSG00000175445
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_308655,0.741620432381462,"Glycogen storage disease due to glycogen branching enzyme deficiency, fatal perinatal neuromuscular form: NA",ENSG00000114480
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_308684,0.741620432381462,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood combined hepatic and myopathic form: NA",ENSG00000114480
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_308698,0.741620432381462,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood neuromuscular form: NA",ENSG00000114480
MT-ND2,4,HEART,LIVER,SKM-GN,SKM-VL,"","",Orphanet_104,0.727849881408914,Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198763
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",Orphanet_99718,0.72571110910171,"Leber plus disease: Leber `plus' disease describes patients with the clinical features of Leber's hereditary optic neuropathy (LHON; see term) in combination with other serious systemic or neurological abnormalities. These abnormalities include: postural tremor, motor disorder, multiple sclerosis-like syndrome, spinal cord disease, skeletal changes, Parkinsonism with dystonia, anarthria, dystonia, motor and sensory peripheral neuropathy, spasticity and mild encephalopathy. It is caused by maternally-inherited mitochondrial DNA (mtDNA) mutations.",ENSG00000198695
BCKDK,4,BLOOD,SKM-GN,SKM-VL,SPLEEN,"","",Orphanet_308410,0.723391584629837,Autism-epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency: NA,ENSG00000103507
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",Orphanet_550,0.72223709058945,"MELAS: MELAS (Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke) syndrome is a rare progressive multisystemic disorder characterized by encephalomyopathy, lactic acidosis, and stroke-like episodes. Other features include endocrinopathy, heart disease, diabetes, hearing loss, and neurological and psychiatric manifestations.",ENSG00000198695
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",EFO_0004612,0.717669573208998,high density lipoprotein cholesterol measurement: The measurement of HDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000175445
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_308621,0.715287867735177,"Glycogen storage disease due to glycogen branching enzyme deficiency, progressive hepatic form: NA",ENSG00000114480
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_308638,0.715287867735177,"Glycogen storage disease due to glycogen branching enzyme deficiency, non progressive hepatic form: NA",ENSG00000114480
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",EFO_0004530,0.713878191170997,"triglyceride measurement: A triglyceride  measurement is a quantification of triglycerides in some body fluid, used as a biomarker for cardiovascular disease.",ENSG00000175445
MT-CYB,4,BAT,COLON,SKM-GN,SKM-VL,"","",Orphanet_104,0.713560909483585,Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198727
ISCU,4,BAT,BLOOD,SKM-VL,SPLEEN,"","",Orphanet_43115,0.71132264673134,Hereditary myopathy with lactic acidosis due to ISCU deficiency: Aconitase deficiency is characterised by myopathy with severe exercise intolerance and deficiencies of skeletal muscle succinate dehydrogenase and aconitase.,ENSG00000136003
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",Orphanet_506,0.703064828220408,Leigh syndrome: A progressive neurological disease defined by specific neuropathological features associating brainstem and basal ganglia lesions.,ENSG00000198695
MT-ND2,4,HEART,LIVER,SKM-GN,SKM-VL,"","",Orphanet_506,0.698874833949632,Leigh syndrome: A progressive neurological disease defined by specific neuropathological features associating brainstem and basal ganglia lesions.,ENSG00000198763
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",Orphanet_411,0.698278418685195,Hyperlipoproteinemia type 1: NA,ENSG00000175445
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",MONDO_0018637,0.697674298740194,familial chylomicronemia syndrome: NA,ENSG00000175445
LDHA,4,LIVER,LUNG,SKM-GN,SKM-VL,"","",Orphanet_284426,0.697340638814592,"Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency: A condition that affects how the body breaks down sugar to use as energy in muscle cells. People withthis conditionexperience fatigue, muscle pain, and cramps during exercise (exercise intolerance). In some people,high-intensity exercise or other strenuous activity leads to the breakdown of muscle tissue (rhabdomyolysis), which can lead to myoglobinuria (rust-colored urine indicating breakdown of muscle tissue) and kidney damage. A skin rash may also develop. The severity of the signs and symptoms varies greatly among affected individuals. Lactate dehydrogenase A deficiency is caused by mutations in the LDHA gene. This condition is inherited in an autosomal recessive pattern.",ENSG00000134333
TPM1,4,BLOOD,SKM-GN,SKM-VL,SPLEEN,"","",Orphanet_154,0.692962227533816,"Familial isolated dilated cardiomyopathy: Familial isolated dilated cardiomyopathy is a rare, genetically heterogeneous cardiac disease characterized by dilatation leading to systolic and diastolic dysfunction of the left and/or right ventricles, causing heart failure or arrhythmia.",ENSG00000140416
PIK3CD,4,LUNG,SKM-GN,SKM-VL,SPLEEN,"","",Orphanet_397596,0.687273978210084,Activated PIK3-delta syndrome: NA,ENSG00000171608
LYZ,4,HEART,KIDNEY,SKM-GN,SPLEEN,"","",Orphanet_85450,0.681786935205607,Familial renal amyloidosis: NA,ENSG00000090382
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0004611,0.68038791252128,low density lipoprotein cholesterol measurement: The measurement of LDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000130164
GBE1,4,BAT,SKM-GN,SKM-VL,SMLINT,"","",Orphanet_79201,0.680301558208102,Glycogen storage disease: An inherited metabolic disorder characterized either by defects in glycogen synthesis or defects in the breaking down of glycogen. It results either in the creation of abnormal forms of glycogen or accumulation of glycogen in the tissues.,ENSG00000114480
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0004574,0.673398474836286,"total cholesterol measurement: A total cholesterol measurement is the quantification of cholesterol in blood, total cholesterol is defined as the sum of HDL, LDL, and VLDL.",ENSG00000130164
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0007010,0.65962936423232,"drug use measurement: quantification of some aspect of drug use, such as whether drug use occured, over what period of time it occured and what dosage was used",ENSG00000130164
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0001645,0.653877644788917,coronary artery disease: Narrowing of the coronary arteries due to fatty deposits inside the arterial walls. The diagnostic criteria may include documented history of any of the following: documented coronary artery stenosis greater than or equal to 50% (by cardiac catheterization or other modality of direct imaging of the coronary arteries); previous coronary artery bypass surgery (CABG); previous percutaneous coronary intervention (PCI); previous myocardial infarction. (ACC),ENSG00000130164
TPM1,4,BLOOD,SKM-GN,SKM-VL,SPLEEN,"","",Orphanet_217607,0.651897799235516,"Familial dilated cardiomyopathy: A a genetic form of heart disease that occurs when heart (cardiac) muscle becomes thin and weakened in at least one chamber of the heart, causing the open area of the chamber to become enlarged (dilated). As a result, the heart is unable to pump blood as efficiently as usual. To compensate, the heart attempts to increase the amount of blood being pumped through the heart, leading to further thinning and weakening of the cardiac muscle. Over time, this condition results in heart failure.",ENSG00000140416
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0004615,0.651893076085985,"apolipoprotein B measurement: The measurement of ApoB in blood. Apolipoprotein B is a major protein constituent of chylomicrons (apo B-48), LDL (apo B-100) and VLDL (apo B-100). Apo B-100 functions as a recognition signal for the cellular binding and internalization of LDL particles by the apoB/E receptor, and is upregulated in response to enterovirus 71.",ENSG00000130164
MT-CYB,4,BAT,COLON,SKM-GN,SKM-VL,"","",HP_0003546,0.647845253467827,Exercise intolerance: A functional motor deficit where individuals whose responses to the challenges of exercise fail to achieve levels considered normal for their age and gender.,ENSG00000198727
LPL,4,HEART,HIPPOC,KIDNEY,SKM-VL,"","",EFO_0004732,0.633956328489412,lipoprotein measurement: Is the quantification of some lipoprotein,ENSG00000175445
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0000319,0.631623246431302,cardiovascular disease: A disease involving the cardiovascular system.,ENSG00000130164
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",Orphanet_70474,0.618532951243147,Leigh syndrome with cardiomyopathy: NA,ENSG00000198695
MT-ND2,4,HEART,LIVER,SKM-GN,SKM-VL,"","",MONDO_0100133,0.618532951243147,"mitochondrial complex I deficiency: A type of mitochondrial disease charcterized by macrocephaly (large head) with progressive leukodystrophy, encephalopathy, hypertrophic cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. The disease is caused by mutations in any of many genes and the inheritance pattern depends on the responsible gene.",ENSG00000198763
MT-ND2,4,HEART,LIVER,SKM-GN,SKM-VL,"","",Orphanet_70474,0.618532951243147,Leigh syndrome with cardiomyopathy: NA,ENSG00000198763
H3-3A,4,BAT,BLOOD,HEART,SPLEEN,"","",EFO_0000272,0.611603328967809,"astrocytoma: A glial tumor of the brain or spinal cord showing astrocytic differentiation. It includes the following clinicopathological entities: pilocytic astrocytoma, diffuse astrocytoma, anaplastic astrocytoma, pleomorphic xanthoastrocytoma, subependymal giant cell astrocytoma, and glioblastoma.",ENSG00000163041
MT-ND2,4,HEART,LIVER,SKM-GN,SKM-VL,"","",MONDO_0005148,0.608284158086098,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000198763
LDLR,4,CORTEX,HIPPOC,SKM-GN,SKM-VL,"","",EFO_0000589,0.608280706608791,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",ENSG00000130164
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",MONDO_0005148,0.607822183267742,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000198695
NDUFB4,4,BAT,HEART,SKM-GN,SKM-VL,"","",MONDO_0005148,0.607452603413057,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000065518
TUBB4B,4,ADRNL,BLOOD,HEART,SKM-GN,"","",EFO_0000181,0.606094783185865,"head and neck squamous cell carcinoma: A squamous cell carcinoma that arises from any of the following anatomic sites: lip and oral cavity, nasal cavity, paranasal sinuses, pharynx, larynx, and salivary glands.",ENSG00000188229
TUBB4B,4,ADRNL,BLOOD,HEART,SKM-GN,"","",MONDO_0007254,0.605566982248358,breast cancer: A primary or metastatic malignant neoplasm involving the breast. The vast majority of cases are carcinomas arising from the breast parenchyma or the nipple. Malignant breast neoplasms occur more frequently in females than in males.,ENSG00000188229
TUBB4B,4,ADRNL,BLOOD,HEART,SKM-GN,"","",EFO_0003060,0.605309231406605,"non-small cell lung carcinoma: A group of at least three distinct histological types of lung cancer, including non-small cell squamous cell carcinoma, adenocarcinoma, and large cell carcinoma. Non-small cell lung carcinomas have a poor response to conventional chemotherapy.",ENSG00000188229
MT-ND2,4,HEART,LIVER,SKM-GN,SKM-VL,"","",EFO_0000400,0.604425291493615,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000198763
MT-ND6,4,BAT,KIDNEY,SKM-GN,SKM-VL,"","",EFO_0000400,0.60430209820872,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000198695
NDUFB4,4,BAT,HEART,SKM-GN,SKM-VL,"","",EFO_0000400,0.602836611423825,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000065518
TUBB4B,4,ADRNL,BLOOD,HEART,SKM-GN,"","",EFO_0000305,0.60138484117938,breast carcinoma: A carcinoma that arises from epithelial cells of the breast,ENSG00000188229
DLST,4,BAT,BLOOD,SKM-VL,SPLEEN,"","",EFO_1000453,0.600876832424088,"Paraganglioma: A benign or malignant neoplasm arising from paraganglia located along the sympathetic or parasympathetic nerves. Infrequently, it may arise outside the usual distribution of the sympathetic and parasympathetic paraganglia. Tumors arising from the adrenal gland medulla are called pheochromocytomas. Morphologically, paragangliomas usually display a nesting (Zellballen) growth pattern. There are no reliable morphologic criteria to distinguish between benign and malignant paragangliomas. The only definitive indicator of malignancy is the presence of regional or distant metastases.",ENSG00000119689
