Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,cluster,gwas,logPVal_enrichment
Cluster_WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.0168838735471725,0.0136080455373162,1.62355553540117,1.30855147643539,0.634313356517862,WAT-SC-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.197696143716941
Cluster_LUNG-sex_homogeneous_changing,0.0200962598045112,0.0360912210492524,0.0132723838614392,1.79591731995576,0.660440499403765,0.238180600659814,LUNG-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.623093613841852
Cluster_SMLINT-sex_homogeneous_changing,0.00483681109663406,0.00681030885771226,0.00534174244626889,1.40801629868315,1.10439344012964,0.712595562251503,SMLINT-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.147156886581812
Cluster_LIVER-sex_homogeneous_changing,0.00698538656660559,0.00157725915378709,0.00445997733452824,0.225794111571055,0.638472515730147,0.226699908195313,LIVER-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.644548655745901
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.129435768602487,0.0172029823330997,3.00953345578117,0.399989519355172,2.26674327065556e-06,BLOOD-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-5.64459766489835
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00776951246927451,0.00374184805987905,4.0997874817941,1.97448448603882,0.112677673808519,HIPPOC-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-0.948162127452611
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.0014927511570206,0.00088296118161332,1.00502902580006,0.594473909467459,0.993258720526384,CORTEX-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-0.0029376132750037
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0391143453781827,0.00726289607588347,1.63280951800241,0.30318610029914,0.0328020743358202,SKM-GN-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-1.48409869152872
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0710272904454134,0.0116406983192733,1.87955276440296,0.308040846952847,0.00346953202653659,SKM-VL-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-2.45972909927215
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.0687338176244945,0.00987705577468221,1.93217523289201,0.277653754749874,0.00192795478026631,HEART-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-2.71490315659041
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.0123242299223176,0.00329935186151423,1.2378758550185,0.331394986325504,0.469568445176675,KIDNEY-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-0.328301095206123
Cluster_ADRNL-sex_homogeneous_changing,0.035065496491538,0.0524760407503457,0.00798957737195674,1.49651497913367,0.227847262162245,0.025226965676807,ADRNL-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-1.59813498369045
Cluster_COLON-sex_homogeneous_changing,0.0318228384782221,0.0746892450546408,0.0135695679676949,2.34703277979914,0.42640973013709,0.00234974971425537,COLON-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-2.62897839453958
Cluster_SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0940757446685096,0.0119354789558819,3.25643518208491,0.413147020243337,1.24394897972135e-07,SPLEEN-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-6.90519743176729
Cluster_BAT-sex_homogeneous_changing,0.0412790532847723,0.0857832363218239,0.0117358656301919,2.0781299350552,0.28430559076124,0.000499467594263663,BAT-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-3.30149268379238
Cluster_WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.0193409849772712,0.00323772489498294,1.85983169870508,0.311340058350297,0.00525894582192819,WAT-SC-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-2.27910130329927
Cluster_LUNG-sex_homogeneous_changing,0.0200962598045112,0.0628674526669989,0.012534759479961,3.12831607864099,0.623735939020219,0.00070146063980083,LUNG-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-3.1539966929847
Cluster_SMLINT-sex_homogeneous_changing,0.00483681109663406,0.0148143428656358,0.00474117159368894,3.06283263283635,0.980226744225824,0.032583434896175,SMLINT-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-1.48700313495008
Cluster_LIVER-sex_homogeneous_changing,0.00698538656660559,0.020578140838643,0.00678825648810919,2.9458843318735,0.971779646463834,0.0526663077924814,LIVER-sex_homogeneous_changing,Astle_et_al_2016_Eosinophil_counts,-1.27846712708694
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.10490928969767,0.0125991431411009,2.43926405024113,0.29294485756691,7.19925711038321e-07,BLOOD-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-6.14271231600024
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00615956117054105,0.002185522043592,3.25025436025682,1.1532481543646,0.0508974581773579,HIPPOC-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-1.29330390581867
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00223031460907734,0.00120298549733769,1.50161057202766,0.809937635455616,0.535659801356508,CORTEX-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-0.271110944077211
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0381700208866759,0.00724553058488796,1.59338914670623,0.302461186237352,0.0491088031253578,SKM-GN-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-1.30884065031936
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0613249424854158,0.0093893897558058,1.62280532528408,0.248465813082712,0.0124829487726029,SKM-VL-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-1.90368281173697
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.0571400184295401,0.00716107300903287,1.60626213168765,0.2013048072577,0.0025049427534028,HEART-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-2.60120219481285
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.0228314158783222,0.00465889049513467,2.29324336123276,0.467950378356611,0.00638774138739809,KIDNEY-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-2.19465267492233
Cluster_ADRNL-sex_homogeneous_changing,0.035065496491538,0.0603614570710534,0.00878469649946554,1.72139176998734,0.250522518669755,0.00478553724448832,ADRNL-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-2.32006929942959
Cluster_COLON-sex_homogeneous_changing,0.0318228384782221,0.0700221014453673,0.0110441551926938,2.20037258754547,0.347051228640457,0.000524549575658271,COLON-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-3.28021345996354
Cluster_SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0913948574780815,0.0132923775644777,3.16363617850675,0.460116112894404,1.17990817286044e-05,SPLEEN-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-4.92815179063608
Cluster_BAT-sex_homogeneous_changing,0.0412790532847723,0.104698304713409,0.0120986053556679,2.536354310045,0.293093091844988,2.0036653859081e-07,BAT-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-6.69817480435538
Cluster_WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.0145722884891894,0.00442819429867953,1.40127320747722,0.425815755215547,0.345653122152418,WAT-SC-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-0.461359515947921
Cluster_LUNG-sex_homogeneous_changing,0.0200962598045112,0.0489680048274857,0.00948640116861575,2.43667256015935,0.47204809556086,0.00204580063526385,LUNG-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-2.68913669086992
Cluster_SMLINT-sex_homogeneous_changing,0.00483681109663406,0.0112947128832817,0.00463742720664883,2.33515691591548,0.958777821584973,0.163469210777422,SMLINT-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-0.786564034126935
Cluster_LIVER-sex_homogeneous_changing,0.00698538656660559,0.00768336292653119,0.00280057094001438,1.09991950384856,0.400918533757719,0.802494068602107,LIVER-sex_homogeneous_changing,Astle_et_al_2016_Granulocyte_count,-0.0955581688706228
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.213252507305276,0.0241336167106519,4.95837095258779,0.561134898675225,2.97338991494437e-10,BLOOD-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-9.5267481359329
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.0114693461473587,0.00688849934327361,6.05210197489978,3.63489774777814,0.164745287789719,HIPPOC-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-0.783186998683514
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00662743799433632,0.00514801762752119,4.46207495447028,3.46602118957043,0.317711644447056,CORTEX-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-0.49796686755741
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0433714143260449,0.00882755793590076,1.81051881186008,0.368502156410783,0.0299398237273864,SKM-GN-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-1.52375076092178
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0966520026372398,0.0133740582567079,2.55764421819694,0.353909715688793,2.18031829322473e-05,SKM-VL-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-4.66148010139508
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.0838302506218365,0.0118636544147015,2.35655081612868,0.333498996911636,0.000100974799269424,HEART-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-3.99578700150304
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.0243424762802007,0.00832923857311098,2.44501797098527,0.836609133822772,0.0875888354107971,KIDNEY-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-1.05755124803847
Cluster_ADRNL-sex_homogeneous_changing,0.035065496491538,0.103963007961591,0.0173686222885902,2.96482349784152,0.495319445791439,0.000111790764077271,ADRNL-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-3.95159407548329
Cluster_COLON-sex_homogeneous_changing,0.0318228384782221,0.11113894656644,0.0155936858270491,3.49242719635136,0.49001555400913,7.53456264610477e-07,COLON-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-6.12294195182923
Cluster_SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0670321067435463,0.0115629488993409,2.32031871231122,0.400251879346194,0.000873449130159623,SPLEEN-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-3.05876238333622
Cluster_BAT-sex_homogeneous_changing,0.0412790532847723,0.104971915132109,0.0142093352100211,2.54298262142638,0.344226286198838,1.97351057416916e-05,BAT-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-4.7047605422905
Cluster_WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.0169920104101345,0.00350768169430794,1.63395399058696,0.337299140230337,0.0629821034495464,WAT-SC-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-1.20078283907458
Cluster_LUNG-sex_homogeneous_changing,0.0200962598045112,0.0370273195945319,0.00604308750747115,1.8424980545992,0.300707075160056,0.00408614092570928,LUNG-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-2.38868665919097
Cluster_SMLINT-sex_homogeneous_changing,0.00483681109663406,0.0049950246697994,0.00287549280922994,1.03271030644042,0.594501780570052,0.956056029655395,SMLINT-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-0.0195166551536922
Cluster_LIVER-sex_homogeneous_changing,0.00698538656660559,0.00985765126571589,0.00281058569983863,1.41118192554174,0.402352206716082,0.300979315299479,LIVER-sex_homogeneous_changing,Astle_et_al_2016_High_light_scatter_reticulocyte_count,-0.521463350120358
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.104619999291598,0.0128328798995185,2.4325377089453,0.29837951138709,4.1644363787247e-06,BLOOD-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-5.38044376836843
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00410458355631565,0.00214782021188862,2.16589140550438,1.13335379184578,0.303883655806018,HIPPOC-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-0.517292657551318
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00166243340172558,0.000995814628368214,1.11927149701797,0.670455086314529,0.858054864226575,CORTEX-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-0.0664849423738122
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0410347956620723,0.00597486360291484,1.71297779059056,0.249417804779296,0.00339721513349167,SKM-GN-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-2.46887694994189
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0761728090330988,0.00905227378924971,2.01571554951164,0.239544914609867,3.9241883624422e-05,SKM-VL-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-4.4062501545016
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.0583442928790323,0.00783418339554252,1.64011547121297,0.22022660242004,0.00393098194567332,HEART-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-2.40549895081549
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.00907896442174432,0.00219350390638467,0.911913435329339,0.220320907733578,0.690543354970737,KIDNEY-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-0.160809049549552
Cluster_ADRNL-sex_homogeneous_changing,0.035065496491538,0.063709187700586,0.00908616337245901,1.81686255935262,0.259119769618881,0.00143728343275708,ADRNL-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-2.84245758040817
Cluster_COLON-sex_homogeneous_changing,0.0318228384782221,0.0761338612237175,0.00895544621827167,2.39242835851426,0.281415695347237,3.73966847820967e-06,COLON-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-5.42716689631979
Cluster_SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0763672398093749,0.010259723991639,2.64345466889731,0.35514070372315,5.4146918933042e-06,SPLEEN-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-5.266426250552
Cluster_BAT-sex_homogeneous_changing,0.0412790532847723,0.0793580034982414,0.011214229951931,1.92247634534575,0.271668777734976,0.000748988356777604,BAT-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-3.12552493347082
Cluster_WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.0140713562836941,0.00266291585847903,1.35310349968947,0.256066344625355,0.165295357540102,WAT-SC-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-0.781739343785052
Cluster_LUNG-sex_homogeneous_changing,0.0200962598045112,0.0404761744420768,0.00659505614962668,2.01411480722352,0.32817331253581,0.00269716758516846,LUNG-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-2.56909206835883
Cluster_SMLINT-sex_homogeneous_changing,0.00483681109663406,0.0085768880698402,0.00311888854533352,1.77325264486944,0.644823310859494,0.227865444565412,SMLINT-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-0.642321529898235
Cluster_LIVER-sex_homogeneous_changing,0.00698538656660559,0.00905033301574567,0.00295274597057786,1.29560947407145,0.422703302447682,0.482262736853878,LIVER-sex_homogeneous_changing,Astle_et_al_2016_Lymphocyte_counts,-0.316716293549688
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.100516824713864,0.012527859911429,2.33713408674775,0.291287438857614,3.01156896935578e-06,BLOOD-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-5.52120718639755
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00269267187932251,0.00204120193875751,1.42085909599631,1.07709385748799,0.69497678949744,HIPPOC-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-0.158029699527165
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00171633634166797,0.00107569663314019,1.1555628902373,0.724237482032225,0.829861019343522,CORTEX-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-0.0809946348361894
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0659327930497139,0.0126795535597597,2.75233270553735,0.529301859361936,0.00170485274975036,SKM-GN-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-2.76831312560551
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0928038765432289,0.0138024786313589,2.45581355575138,0.365246748179432,0.000177602502322156,SKM-VL-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-3.75055091954251
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.0779767638409816,0.0117260939733086,2.19200354413199,0.329632037573844,0.000661355436882305,HEART-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-3.17956507184767
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.013760172320163,0.00300931372046225,1.38210542836258,0.302262844673997,0.199895625329366,KIDNEY-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-0.699196710214578
Cluster_ADRNL-sex_homogeneous_changing,0.035065496491538,0.0761719717178856,0.0126585936552053,2.17227700558204,0.360998557606622,0.00218615729388081,ADRNL-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-2.66031859380128
Cluster_COLON-sex_homogeneous_changing,0.0318228384782221,0.0764119874870795,0.0105853220253758,2.40116819055509,0.332632867826037,1.82277401880408e-05,COLON-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-4.73926717033012
Cluster_SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0612318430110685,0.0101253504010506,2.11954238095857,0.350489357199378,0.00147121308895741,SPLEEN-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-2.83232441996037
Cluster_BAT-sex_homogeneous_changing,0.0412790532847723,0.0870561023782601,0.0133202479923187,2.10896557577726,0.322687826690844,0.000778386401048798,BAT-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-3.10880476009975
Cluster_WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.0154975412018989,0.00445278895551101,1.49024563191332,0.428180780701463,0.255025866337433,WAT-SC-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-0.593415768437012
Cluster_LUNG-sex_homogeneous_changing,0.0200962598045112,0.050280244334133,0.0111121319348642,2.50197025830877,0.552945276531994,0.00642356414917697,LUNG-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-2.19222393442131
Cluster_SMLINT-sex_homogeneous_changing,0.00483681109663406,0.027778471536355,0.0145258671985135,5.74313757171249,3.0031909264809,0.112061990422303,SMLINT-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-0.950541667949604
Cluster_LIVER-sex_homogeneous_changing,0.00698538656660559,0.0182418176253521,0.00729470095299327,2.6114256457272,1.04428021032743,0.123980336325,LIVER-sex_homogeneous_changing,Astle_et_al_2016_Monocyte_count,-0.9066471898598
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.101896747776266,0.0123345493886124,2.36921891667955,0.28679274243751,1.88501272461743e-06,BLOOD-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-5.72468571378048
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00611733838599554,0.00226285921372999,3.22797439813426,1.19405714505262,0.0620177487530758,HIPPOC-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-1.20748400272078
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00218628835772217,0.00123347639794709,1.4719688864051,0.830466335092602,0.570019948015973,CORTEX-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-0.244109945798258
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0383402186881867,0.00710476721074298,1.60049397199636,0.296585086947748,0.0429137517474872,SKM-GN-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-1.36740351548352
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0621349739929378,0.00954880924751262,1.64424070525801,0.252684435874857,0.01147464614254,SKM-VL-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-1.94026069844533
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.0591612877701572,0.00734025299911273,1.66308200135181,0.206341733053871,0.00134089471488061,HEART-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-2.87260532098617
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.0209037274048576,0.00420816013419118,2.09962160698603,0.422677916348633,0.0103319497794198,KIDNEY-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-1.9858177134718
Cluster_ADRNL-sex_homogeneous_changing,0.035065496491538,0.0620115785465651,0.0090167074949681,1.76845003639203,0.257139022604286,0.00357991091730691,ADRNL-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-2.44612778022858
Cluster_COLON-sex_homogeneous_changing,0.0318228384782221,0.0698013039841364,0.0107377245974618,2.19343425420409,0.337421962054396,0.000434602618070551,COLON-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-3.36190766179329
Cluster_SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0860668237976334,0.012683370233541,2.97920610687159,0.439035302898184,2.19996884215184e-05,SPLEEN-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-4.65758346998568
Cluster_BAT-sex_homogeneous_changing,0.0412790532847723,0.099922329772831,0.0112858555143146,2.42065458922945,0.273403932896831,2.88911742893977e-07,BAT-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-6.53923480578332
Cluster_WAT-SC-sex_homogeneous_changing,0.0103993199980071,0.013200377524863,0.00408670996993198,1.26935006590745,0.392978576552616,0.492614898468907,WAT-SC-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-0.307492457651217
Cluster_LUNG-sex_homogeneous_changing,0.0200962598045112,0.0495634514635332,0.00920370697817169,2.46630228438863,0.457981090397013,0.00119999568045092,LUNG-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-2.92082031725213
Cluster_SMLINT-sex_homogeneous_changing,0.00483681109663406,0.0135846540272885,0.00585047442555524,2.80859718436018,1.2095726520365,0.134752578669701,SMLINT-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-0.870462915259545
Cluster_LIVER-sex_homogeneous_changing,0.00698538656660559,0.00878624082210185,0.00309539760892366,1.25780309197281,0.443124740400417,0.560372252576979,LIVER-sex_homogeneous_changing,Astle_et_al_2016_Myeloid_white_cell_count,-0.251523377403122
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.104832199711727,0.0126002727369892,2.43747161763687,0.292971121996394,9.30818957164141e-07,BLOOD-sex_homogeneous_changing,Astle_et_al_2016_Neutrophil_count,-6.03113478040471
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00629670325628634,0.00221235198471436,3.32262098668147,1.16740567804266,0.0462232811669729,HIPPOC-sex_homogeneous_changing,Astle_et_al_2016_Neutrophil_count,-1.33513922929973
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00221241335684877,0.00114602239691486,1.48955814252307,0.771585918858209,0.525715742921668,CORTEX-sex_homogeneous_changing,Astle_et_al_2016_Neutrophil_count,-0.279249017538093
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0390467273018773,0.00776845523979408,1.62998683395867,0.324290424218288,0.0513609506396146,SKM-GN-sex_homogeneous_changing,Astle_et_al_2016_Neutrophil_count,-1.28936694651011
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0609875451901276,0.00964003100036225,1.61387698217702,0.255098382636263,0.0165260137271894,SKM-VL-sex_homogeneous_changing,Astle_et_al_2016_Neutrophil_count,-1.78183189083649
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.0566850474136265,0.00737832143996003,1.59347244883554,0.207411874377343,0.0042117440860414,HEART-sex_homogeneous_changing,Astle_et_al_2016_Neutrophil_count,-2.37553802528251
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.0226904031357388,0.00460516115168479,2.27907969580343,0.462553671431973,0.00646833397505178,KIDNEY-sex_homogeneous_changing,Astle_et_al_2016_Neutrophil_count,-2.1892075645576
