"feature_ID" "human_ensembl_gene"
"313" "ENSRNOG00000000145" "ENSG00000117461"
"321" "ENSRNOG00000000150" "ENSG00000136770"
"329" "ENSRNOG00000000151" "ENSG00000157978"
"337" "ENSRNOG00000000155" "ENSG00000136152"
"345" "ENSRNOG00000000157" "ENSG00000145782"
"353" "ENSRNOG00000000158" "ENSG00000129596"
"361" "ENSRNOG00000000161" "ENSG00000188419"
"369" "ENSRNOG00000000164" "ENSG00000005893"
"377" "ENSRNOG00000000165" "ENSG00000158571"
"385" "ENSRNOG00000000166" "ENSG00000169188"
"393" "ENSRNOG00000000167" "ENSG00000158578"
"401" "ENSRNOG00000000168" "ENSG00000171766"
"409" "ENSRNOG00000000169" "ENSG00000171763"
"417" "ENSRNOG00000000170" "ENSG00000104154"
"425" "ENSRNOG00000000172" "ENSG00000137767"
"433" "ENSRNOG00000000175" "ENSG00000105556"
"441" "ENSRNOG00000000177" "ENSG00000141934"
"449" "ENSRNOG00000000184" "ENSG00000187045"
"457" "ENSRNOG00000000185" "ENSG00000128309"
"465" "ENSRNOG00000000186" "ENSG00000128311"
"473" "ENSRNOG00000000187" "ENSG00000100368"
"481" "ENSRNOG00000000190" "ENSG00000100393"
"489" "ENSRNOG00000000195" "ENSG00000110002"
"505" "ENSRNOG00000000204" "ENSG00000135316"
"513" "ENSRNOG00000000219" "ENSG00000160746"
"521" "ENSRNOG00000000221" "ENSG00000011198"
"529" "ENSRNOG00000000230" "ENSG00000103227"
"537" "ENSRNOG00000000236" "ENSG00000010244"
"545" "ENSRNOG00000000237" "ENSG00000108666"
"553" "ENSRNOG00000000244" "ENSG00000121058"
"561" "ENSRNOG00000000245" "ENSG00000108932"
"569" "ENSRNOG00000000246" "ENSG00000196704"
"577" "ENSRNOG00000000247" "ENSG00000092931"
"585" "ENSRNOG00000000248" "ENSG00000161547"
"593" "ENSRNOG00000000249" "ENSG00000181038"
"601" "ENSRNOG00000000250" "ENSG00000070495"
"609" "ENSRNOG00000000257" "ENSG00000103056"
"617" "ENSRNOG00000000258" "ENSG00000132600"
"625" "ENSRNOG00000000262" "ENSG00000102984"
"633" "ENSRNOG00000000264" "ENSG00000140995"
"641" "ENSRNOG00000000277" "ENSG00000138336"
"649" "ENSRNOG00000000279" "ENSG00000130347"
"657" "ENSRNOG00000000281" "ENSG00000100033"
"665" "ENSRNOG00000000283" "ENSG00000100056"
"673" "ENSRNOG00000000299" "ENSG00000118689"
"681" "ENSRNOG00000000302" "ENSG00000080546"
"689" "ENSRNOG00000000303" "ENSG00000183137"
"697" "ENSRNOG00000000304" "ENSG00000135535"
"705" "ENSRNOG00000000306" "ENSG00000135587"
"713" "ENSRNOG00000000307" "ENSG00000135596"
"721" "ENSRNOG00000000308" "ENSG00000112365"
"729" "ENSRNOG00000000312" "ENSG00000112367"
"737" "ENSRNOG00000000314" "ENSG00000025796"
"745" "ENSRNOG00000000322" "ENSG00000057663"
"753" "ENSRNOG00000000323" "ENSG00000057657"
"761" "ENSRNOG00000000327" "ENSG00000085382"
"769" "ENSRNOG00000000335" "ENSG00000164010"
"777" "ENSRNOG00000000340" "ENSG00000087302"
"785" "ENSRNOG00000000341" "ENSG00000087303"
"793" "ENSRNOG00000000386" "ENSG00000108187"
"801" "ENSRNOG00000000387" "ENSG00000138346"
"809" "ENSRNOG00000000390" "ENSG00000204130"
"817" "ENSRNOG00000000392" "ENSG00000156502"
"825" "ENSRNOG00000000394" "ENSG00000122862"
"833" "ENSRNOG00000000395" "ENSG00000198954"
"841" "ENSRNOG00000000396" "ENSG00000107625"
"849" "ENSRNOG00000000397" "ENSG00000060339"
"857" "ENSRNOG00000000398" "ENSG00000153975"
"865" "ENSRNOG00000000407" "ENSG00000164465"
"873" "ENSRNOG00000000408" "ENSG00000047932"
"881" "ENSRNOG00000000411" "ENSG00000153989"
"889" "ENSRNOG00000000414" "ENSG00000111860"
"897" "ENSRNOG00000000415" "ENSG00000111875"
"905" "ENSRNOG00000000417" "ENSG00000137497"
"913" "ENSRNOG00000000418" "ENSG00000204366"
"921" "ENSRNOG00000000419" "ENSG00000243649"
"929" "ENSRNOG00000000420" "ENSG00000204356"
"937" "ENSRNOG00000000421" "ENSG00000204351"
"945" "ENSRNOG00000000422" "ENSG00000204348"
"953" "ENSRNOG00000000431" "ENSG00000213676"
"961" "ENSRNOG00000000432" "ENSG00000204315"
"969" "ENSRNOG00000000433" "ENSG00000204314"
"977" "ENSRNOG00000000435" "ENSG00000221988"
"985" "ENSRNOG00000000436" "ENSG00000241404"
"993" "ENSRNOG00000000437" "ENSG00000204310"
"1001" "ENSRNOG00000000438" "ENSG00000204308"
"1009" "ENSRNOG00000000439" "ENSG00000204305"
"1017" "ENSRNOG00000000440" "ENSG00000204304"
"1025" "ENSRNOG00000000441" "ENSG00000213654"
"1033" "ENSRNOG00000000442" "ENSG00000204301"
"1041" "ENSRNOG00000000443" "ENSG00000224389"
"1049" "ENSRNOG00000000443" "ENSG00000244731"
"1057" "ENSRNOG00000000454" "ENSG00000241106"
"1065" "ENSRNOG00000000455" "ENSG00000204267"
"1073" "ENSRNOG00000000456" "ENSG00000204264"
"1081" "ENSRNOG00000000457" "ENSG00000168394"
"1089" "ENSRNOG00000000459" "ENSG00000240065"
"1097" "ENSRNOG00000000461" "ENSG00000204256"
"1113" "ENSRNOG00000000463" "ENSG00000204248"
"1121" "ENSRNOG00000000464" "ENSG00000204231"
"1129" "ENSRNOG00000000465" "ENSG00000112473"
"1137" "ENSRNOG00000000466" "ENSG00000204228"
"1145" "ENSRNOG00000000467" "ENSG00000204227"
"1153" "ENSRNOG00000000470" "ENSG00000223501"
"1161" "ENSRNOG00000000471" "ENSG00000235863"
"1169" "ENSRNOG00000000473" "ENSG00000204220"
"1177" "ENSRNOG00000000474" "ENSG00000237441"
"1185" "ENSRNOG00000000476" "ENSG00000236104"
"1193" "ENSRNOG00000000477" "ENSG00000204209"
"1201" "ENSRNOG00000000479" "ENSG00000237649"
"1209" "ENSRNOG00000000480" "ENSG00000112511"
"1217" "ENSRNOG00000000481" "ENSG00000112514"
"1225" "ENSRNOG00000000483" "ENSG00000197283"
"1233" "ENSRNOG00000000485" "ENSG00000030110"
"1241" "ENSRNOG00000000488" "ENSG00000137309"
"1249" "ENSRNOG00000000493" "ENSG00000124562"
"1257" "ENSRNOG00000000495" "ENSG00000065060"
"1265" "ENSRNOG00000000498" "ENSG00000064999"
"1273" "ENSRNOG00000000501" "ENSG00000065029"
"1281" "ENSRNOG00000000502" "ENSG00000023892"
"1289" "ENSRNOG00000000503" "ENSG00000112033"
"1297" "ENSRNOG00000000504" "ENSG00000112039"
"1305" "ENSRNOG00000000506" "ENSG00000007866"
"1313" "ENSRNOG00000000511" "ENSG00000096063"
"1321" "ENSRNOG00000000512" "ENSG00000112053"
"1329" "ENSRNOG00000000513" "ENSG00000112062"
"1337" "ENSRNOG00000000515" "ENSG00000156711"
"1345" "ENSRNOG00000000516" "ENSG00000179165"
"1353" "ENSRNOG00000000517" "ENSG00000112078"
"1361" "ENSRNOG00000000519" "ENSG00000112079"
"1369" "ENSRNOG00000000520" "ENSG00000112081"
"1377" "ENSRNOG00000000521" "ENSG00000124762"
"1385" "ENSRNOG00000000523" "ENSG00000137168"
"1393" "ENSRNOG00000000524" "ENSG00000198663"
"1401" "ENSRNOG00000000525" "ENSG00000164530"
"1409" "ENSRNOG00000000527" "ENSG00000137409"
"1417" "ENSRNOG00000000528" "ENSG00000146192"
"1425" "ENSRNOG00000000529" "ENSG00000137193"
"1433" "ENSRNOG00000000531" "ENSG00000198937"
"1441" "ENSRNOG00000000532" "ENSG00000137200"
"1449" "ENSRNOG00000000536" "ENSG00000112139"
"1457" "ENSRNOG00000000540" "ENSG00000183826"
"1465" "ENSRNOG00000000541" "ENSG00000124767"
"1473" "ENSRNOG00000000546" "ENSG00000178425"
"1481" "ENSRNOG00000000547" "ENSG00000187189"
"1489" "ENSRNOG00000000549" "ENSG00000189241"
"1497" "ENSRNOG00000000551" "ENSG00000171224"
"1505" "ENSRNOG00000000557" "ENSG00000180817"
"1521" "ENSRNOG00000000560" "ENSG00000172731"
"1529" "ENSRNOG00000000561" "ENSG00000107719"
"1537" "ENSRNOG00000000562" "ENSG00000180644"
"1545" "ENSRNOG00000000563" "ENSG00000138316"
"1553" "ENSRNOG00000000565" "ENSG00000166224"
"1561" "ENSRNOG00000000566" "ENSG00000166228"
"1569" "ENSRNOG00000000567" "ENSG00000107731"
"1577" "ENSRNOG00000000568" "ENSG00000198246"
"1585" "ENSRNOG00000000571" "ENSG00000197746"
"1593" "ENSRNOG00000000572" "ENSG00000122863"
"1601" "ENSRNOG00000000576" "ENSG00000166295"
"1609" "ENSRNOG00000000579" "ENSG00000277443"
"1617" "ENSRNOG00000000581" "ENSG00000168438"
"1625" "ENSRNOG00000000583" "ENSG00000155111"
"1633" "ENSRNOG00000000585" "ENSG00000123505"
"1641" "ENSRNOG00000000586" "ENSG00000155115"
"1649" "ENSRNOG00000000587" "ENSG00000197498"
"1657" "ENSRNOG00000000588" "ENSG00000112394"
"1665" "ENSRNOG00000000589" "ENSG00000173214"
"1673" "ENSRNOG00000000593" "ENSG00000009413"
"1681" "ENSRNOG00000000595" "ENSG00000056972"
"1689" "ENSRNOG00000000596" "ENSG00000010810"
"1697" "ENSRNOG00000000598" "ENSG00000074935"
"1705" "ENSRNOG00000000599" "ENSG00000112769"
"1713" "ENSRNOG00000000604" "ENSG00000196591"
"1721" "ENSRNOG00000000609" "ENSG00000151151"
"1729" "ENSRNOG00000000610" "ENSG00000122873"
"1737" "ENSRNOG00000000611" "ENSG00000072401"
"1745" "ENSRNOG00000000613" "ENSG00000108064"
"1753" "ENSRNOG00000000622" "ENSG00000169567"
"1761" "ENSRNOG00000000632" "ENSG00000170312"
"1769" "ENSRNOG00000000633" "ENSG00000072422"
"1777" "ENSRNOG00000000636" "ENSG00000182010"
"1785" "ENSRNOG00000000638" "ENSG00000138311"
"1793" "ENSRNOG00000000640" "ENSG00000122877"
"1801" "ENSRNOG00000000641" "ENSG00000148572"
"1817" "ENSRNOG00000000645" "ENSG00000165476"
"1825" "ENSRNOG00000000648" "ENSG00000171988"
"1833" "ENSRNOG00000000655" "ENSG00000081237"
"1841" "ENSRNOG00000000657" "ENSG00000151414"
"1849" "ENSRNOG00000000658" "ENSG00000076555"
"1857" "ENSRNOG00000000661" "ENSG00000100099"
"1865" "ENSRNOG00000000662" "ENSG00000100104"
"1873" "ENSRNOG00000000663" "ENSG00000100109"
"1881" "ENSRNOG00000000664" "ENSG00000128294"
"1889" "ENSRNOG00000000665" "ENSG00000180957"
"1897" "ENSRNOG00000000692" "ENSG00000076248"
"1905" "ENSRNOG00000000695" "ENSG00000084112"
"1913" "ENSRNOG00000000697" "ENSG00000110880"
"1921" "ENSRNOG00000000699" "ENSG00000110876"
"1929" "ENSRNOG00000000700" "ENSG00000183160"
"1937" "ENSRNOG00000000701" "ENSG00000136003"
"1945" "ENSRNOG00000000702" "ENSG00000075856"
"1953" "ENSRNOG00000000704" "ENSG00000174600"
"1961" "ENSRNOG00000000718" "ENSG00000163320"
"1969" "ENSRNOG00000000720" "ENSG00000179021"
"1977" "ENSRNOG00000000728" "ENSG00000155962"
"1985" "ENSRNOG00000000729" "ENSG00000185973"
"1993" "ENSRNOG00000000774" "ENSG00000204681"
"2001" "ENSRNOG00000000779" "ENSG00000066379"
"2009" "ENSRNOG00000000780" "ENSG00000204619"
"2017" "ENSRNOG00000000781" "ENSG00000204618"
"2025" "ENSRNOG00000000782" "ENSG00000204613"
"2033" "ENSRNOG00000000785" "ENSG00000204599"
"2041" "ENSRNOG00000000786" "ENSG00000241370"
"2049" "ENSRNOG00000000796" "ENSG00000153201"
"2057" "ENSRNOG00000000798" "ENSG00000204590"
"2065" "ENSRNOG00000000799" "ENSG00000204574"
"2073" "ENSRNOG00000000800" "ENSG00000111885"
"2081" "ENSRNOG00000000802" "ENSG00000146350"
"2089" "ENSRNOG00000000804" "ENSG00000204568"
"2097" "ENSRNOG00000000808" "ENSG00000025156"
"2105" "ENSRNOG00000000809" "ENSG00000137343"
"2113" "ENSRNOG00000000811" "ENSG00000135549"
"2121" "ENSRNOG00000000812" "ENSG00000204564"
"2129" "ENSRNOG00000000815" "ENSG00000172594"
"2137" "ENSRNOG00000000816" "ENSG00000146112"
"2145" "ENSRNOG00000000818" "ENSG00000137404"
"2153" "ENSRNOG00000000823" "ENSG00000135968"
"2161" "ENSRNOG00000000824" "ENSG00000111817"
"2169" "ENSRNOG00000000826" "ENSG00000137312"
"2177" "ENSRNOG00000000827" "ENSG00000137331"
"2185" "ENSRNOG00000000831" "ENSG00000213780"
"2193" "ENSRNOG00000000833" "ENSG00000137411"
"2201" "ENSRNOG00000000836" "ENSG00000227507"
"2209" "ENSRNOG00000000837" "ENSG00000232810"
"2217" "ENSRNOG00000000838" "ENSG00000226979"
"2225" "ENSRNOG00000000839" "ENSG00000204498"
"2233" "ENSRNOG00000000841" "ENSG00000198563"
"2241" "ENSRNOG00000000842" "ENSG00000213722"
"2249" "ENSRNOG00000000843" "ENSG00000204421"
"2257" "ENSRNOG00000000844" "ENSG00000244355"
"2265" "ENSRNOG00000000847" "ENSG00000204435"
"2273" "ENSRNOG00000000848" "ENSG00000204438"
"2281" "ENSRNOG00000000850" "ENSG00000204444"
"2289" "ENSRNOG00000000851" "ENSG00000204463"
"2297" "ENSRNOG00000000852" "ENSG00000204469"
"2305" "ENSRNOG00000000853" "ENSG00000204472"
"2313" "ENSRNOG00000000854" "ENSG00000204475"
"2321" "ENSRNOG00000000855" "ENSG00000204482"
"2329" "ENSRNOG00000000857" "ENSG00000204410"
"2337" "ENSRNOG00000000866" "ENSG00000147274"
"2345" "ENSRNOG00000000866" "ENSG00000213516"
"2353" "ENSRNOG00000000867" "ENSG00000204394"
"2361" "ENSRNOG00000000869" "ENSG00000129675"
"2369" "ENSRNOG00000000871" "ENSG00000102245"
"2377" "ENSRNOG00000000875" "ENSG00000022267"
"2385" "ENSRNOG00000000879" "ENSG00000198689"
"2393" "ENSRNOG00000000881" "ENSG00000169446"
"2401" "ENSRNOG00000000888" "ENSG00000126524"
"2409" "ENSRNOG00000000893" "ENSG00000106609"
"2417" "ENSRNOG00000000894" "ENSG00000073910"
"2425" "ENSRNOG00000000895" "ENSG00000154710"
"2433" "ENSRNOG00000000900" "ENSG00000169902"
"2441" "ENSRNOG00000000901" "ENSG00000241258"
"2449" "ENSRNOG00000000902" "ENSG00000120694"
"2457" "ENSRNOG00000000903" "ENSG00000126522"
"2465" "ENSRNOG00000000907" "ENSG00000132965"
"2473" "ENSRNOG00000000909" "ENSG00000132952"
"2481" "ENSRNOG00000000913" "ENSG00000169919"
"2489" "ENSRNOG00000000917" "ENSG00000185290"
"2497" "ENSRNOG00000000921" "ENSG00000122042"
"2505" "ENSRNOG00000000923" "ENSG00000146731"
"2513" "ENSRNOG00000000924" "ENSG00000139514"
"2521" "ENSRNOG00000000925" "ENSG00000146733"
"2529" "ENSRNOG00000000926" "ENSG00000239789"
"2537" "ENSRNOG00000000931" "ENSG00000061936"
"2545" "ENSRNOG00000000936" "ENSG00000111450"
"2553" "ENSRNOG00000000937" "ENSG00000139508"
"2561" "ENSRNOG00000000940" "ENSG00000102755"
"2569" "ENSRNOG00000000942" "ENSG00000152520"
"2577" "ENSRNOG00000000955" "ENSG00000139517"
"2585" "ENSRNOG00000000961" "ENSG00000151948"
"2593" "ENSRNOG00000000962" "ENSG00000139370"
"2601" "ENSRNOG00000000967" "ENSG00000081760"
"2609" "ENSRNOG00000000968" "ENSG00000127870"
"2617" "ENSRNOG00000000969" "ENSG00000106258"
"2625" "ENSRNOG00000000969" "ENSG00000160868"
"2633" "ENSRNOG00000000973" "ENSG00000198723"
"2641" "ENSRNOG00000000974" "ENSG00000198816"
"2649" "ENSRNOG00000000975" "ENSG00000090674"
"2657" "ENSRNOG00000000977" "ENSG00000032444"
"2665" "ENSRNOG00000000979" "ENSG00000184992"
"2673" "ENSRNOG00000000981" "ENSG00000073060"
"2681" "ENSRNOG00000000983" "ENSG00000160908"
"2689" "ENSRNOG00000000985" "ENSG00000160917"
"2705" "ENSRNOG00000000987" "ENSG00000106246"
"2713" "ENSRNOG00000000988" "ENSG00000076924"
"2721" "ENSRNOG00000000989" "ENSG00000106245"
"2729" "ENSRNOG00000000990" "ENSG00000106244"
"2737" "ENSRNOG00000000991" "ENSG00000130429"
"2745" "ENSRNOG00000000994" "ENSG00000076944"
"2753" "ENSRNOG00000000999" "ENSG00000198742"
"2761" "ENSRNOG00000001003" "ENSG00000181029"
"2769" "ENSRNOG00000001004" "ENSG00000196498"
"2777" "ENSRNOG00000001005" "ENSG00000104921"
"2785" "ENSRNOG00000001006" "ENSG00000106236"
"2793" "ENSRNOG00000001007" "ENSG00000006453"
"2801" "ENSRNOG00000001009" "ENSG00000164713"
"2809" "ENSRNOG00000001010" "ENSG00000205356"
"2817" "ENSRNOG00000001011" "ENSG00000178882"
"2825" "ENSRNOG00000001030" "ENSG00000102804"
"2833" "ENSRNOG00000001032" "ENSG00000122674"
"2841" "ENSRNOG00000001032" "ENSG00000146574"
"2849" "ENSRNOG00000001033" "ENSG00000083635"
"2857" "ENSRNOG00000001034" "ENSG00000142459"
"2865" "ENSRNOG00000001035" "ENSG00000111358"
"2873" "ENSRNOG00000001039" "ENSG00000111361"
"2881" "ENSRNOG00000001040" "ENSG00000122512"
"2889" "ENSRNOG00000001043" "ENSG00000111364"
"2897" "ENSRNOG00000001044" "ENSG00000106305"
"2905" "ENSRNOG00000001047" "ENSG00000076984"
"2913" "ENSRNOG00000001048" "ENSG00000157999"
"2921" "ENSRNOG00000001049" "ENSG00000133112"
"2929" "ENSRNOG00000001050" "ENSG00000086232"
"2937" "ENSRNOG00000001052" "ENSG00000174032"
"2945" "ENSRNOG00000001053" "ENSG00000086598"
"2953" "ENSRNOG00000001055" "ENSG00000188026"
"2961" "ENSRNOG00000001056" "ENSG00000104976"
"2969" "ENSRNOG00000001057" "ENSG00000178531"
"2977" "ENSRNOG00000001058" "ENSG00000104980"
"2985" "ENSRNOG00000001059" "ENSG00000106346"
"2993" "ENSRNOG00000001060" "ENSG00000184209"
"3001" "ENSRNOG00000001061" "ENSG00000150977"
"3009" "ENSRNOG00000001062" "ENSG00000183955"
"3017" "ENSRNOG00000001064" "ENSG00000139697"
"3025" "ENSRNOG00000001065" "ENSG00000008256"
"3033" "ENSRNOG00000001066" "ENSG00000151655"
"3041" "ENSRNOG00000001068" "ENSG00000136238"
"3049" "ENSRNOG00000001069" "ENSG00000066044"
"3057" "ENSRNOG00000001070" "ENSG00000111328"
"3065" "ENSRNOG00000001072" "ENSG00000090661"
"3073" "ENSRNOG00000001073" "ENSG00000130921"
"3089" "ENSRNOG00000001074" "ENSG00000051825"
"3097" "ENSRNOG00000001079" "ENSG00000164535"
"3105" "ENSRNOG00000001080" "ENSG00000182196"
"3113" "ENSRNOG00000001081" "ENSG00000111325"
"3121" "ENSRNOG00000001082" "ENSG00000150967"
"3129" "ENSRNOG00000001083" "ENSG00000136240"
"3137" "ENSRNOG00000001086" "ENSG00000139722"
"3145" "ENSRNOG00000001088" "ENSG00000133119"
"3153" "ENSRNOG00000001090" "ENSG00000133121"
"3161" "ENSRNOG00000001091" "ENSG00000130787"
"3169" "ENSRNOG00000001094" "ENSG00000205903"
"3177" "ENSRNOG00000001098" "ENSG00000083642"
"3185" "ENSRNOG00000001099" "ENSG00000146587"
"3193" "ENSRNOG00000001101" "ENSG00000011275"
"3201" "ENSRNOG00000001104" "ENSG00000164916"
"3209" "ENSRNOG00000001106" "ENSG00000139726"
"3217" "ENSRNOG00000001107" "ENSG00000242802"
"3225" "ENSRNOG00000001108" "ENSG00000244754"
"3233" "ENSRNOG00000001111" "ENSG00000139618"
"3241" "ENSRNOG00000001114" "ENSG00000157954"
"3249" "ENSRNOG00000001115" "ENSG00000164638"
"3257" "ENSRNOG00000001117" "ENSG00000155034"
"3265" "ENSRNOG00000001120" "ENSG00000123066"
"3273" "ENSRNOG00000001123" "ENSG00000111412"
"3281" "ENSRNOG00000001124" "ENSG00000135119"
"3289" "ENSRNOG00000001126" "ENSG00000174989"
"3297" "ENSRNOG00000001129" "ENSG00000135108"
"3305" "ENSRNOG00000001134" "ENSG00000111445"
"3313" "ENSRNOG00000001135" "ENSG00000176871"
"3321" "ENSRNOG00000001138" "ENSG00000135090"
"3329" "ENSRNOG00000001139" "ENSG00000111707"
"3337" "ENSRNOG00000001142" "ENSG00000111725"
"3345" "ENSRNOG00000001143" "ENSG00000122966"
"3353" "ENSRNOG00000001149" "ENSG00000089159"
"3361" "ENSRNOG00000001151" "ENSG00000089163"
"3369" "ENSRNOG00000001158" "ENSG00000160179"
"3377" "ENSRNOG00000001160" "ENSG00000170855"
"3401" "ENSRNOG00000001161" "ENSG00000257218"
"3409" "ENSRNOG00000001163" "ENSG00000111786"
"3417" "ENSRNOG00000001165" "ENSG00000160183"
"3425" "ENSRNOG00000001167" "ENSG00000160185"
"3433" "ENSRNOG00000001169" "ENSG00000160190"
"3441" "ENSRNOG00000001170" "ENSG00000111775"
"3449" "ENSRNOG00000001171" "ENSG00000110871"
"3457" "ENSRNOG00000001172" "ENSG00000022840"
"3465" "ENSRNOG00000001173" "ENSG00000157782"
"3473" "ENSRNOG00000001177" "ENSG00000122971"
"3481" "ENSRNOG00000001178" "ENSG00000157837"
"3489" "ENSRNOG00000001181" "ENSG00000160193"
"3497" "ENSRNOG00000001182" "ENSG00000160194"
"3505" "ENSRNOG00000001184" "ENSG00000160199"
"3513" "ENSRNOG00000001185" "ENSG00000157895"
"3521" "ENSRNOG00000001187" "ENSG00000135114"
"3529" "ENSRNOG00000001189" "ENSG00000142178"
"3537" "ENSRNOG00000001189" "ENSG00000275993"
"3545" "ENSRNOG00000001190" "ENSG00000139436"
"3553" "ENSRNOG00000001192" "ENSG00000139433"
"3561" "ENSRNOG00000001194" "ENSG00000160208"
"3569" "ENSRNOG00000001198" "ENSG00000139438"
"3577" "ENSRNOG00000001199" "ENSG00000167272"
"3585" "ENSRNOG00000001201" "ENSG00000160213"
"3593" "ENSRNOG00000001203" "ENSG00000160214"
"3601" "ENSRNOG00000001204" "ENSG00000076513"
"3609" "ENSRNOG00000001205" "ENSG00000160216"
"3617" "ENSRNOG00000001210" "ENSG00000241945"
"3625" "ENSRNOG00000001210" "ENSG00000275464"
"3633" "ENSRNOG00000001211" "ENSG00000160221"
"3641" "ENSRNOG00000001211" "ENSG00000280071"
"3649" "ENSRNOG00000001214" "ENSG00000141959"
"3657" "ENSRNOG00000001215" "ENSG00000160226"
"3665" "ENSRNOG00000001216" "ENSG00000142185"
"3673" "ENSRNOG00000001219" "ENSG00000175894"
"3681" "ENSRNOG00000001222" "ENSG00000184787"
"3689" "ENSRNOG00000001223" "ENSG00000183255"
"3697" "ENSRNOG00000001224" "ENSG00000160255"
"3705" "ENSRNOG00000001225" "ENSG00000160256"
"3713" "ENSRNOG00000001227" "ENSG00000197381"
"3721" "ENSRNOG00000001228" "ENSG00000186866"
"3729" "ENSRNOG00000001229" "ENSG00000182871"
"3737" "ENSRNOG00000001232" "ENSG00000173638"
"3745" "ENSRNOG00000001235" "ENSG00000146535"
"3753" "ENSRNOG00000001236" "ENSG00000106009"
"3761" "ENSRNOG00000001237" "ENSG00000099991"
"3769" "ENSRNOG00000001238" "ENSG00000111011"
"3777" "ENSRNOG00000001239" "ENSG00000099974"
"3785" "ENSRNOG00000001239" "ENSG00000099977"
"3793" "ENSRNOG00000001241" "ENSG00000106012"
"3801" "ENSRNOG00000001243" "ENSG00000033030"
"3809" "ENSRNOG00000001247" "ENSG00000130779"
"3817" "ENSRNOG00000001249" "ENSG00000142156"
"3825" "ENSRNOG00000001250" "ENSG00000106003"
"3833" "ENSRNOG00000001252" "ENSG00000136213"
"3841" "ENSRNOG00000001253" "ENSG00000106263"
"3849" "ENSRNOG00000001255" "ENSG00000175727"
"3857" "ENSRNOG00000001256" "ENSG00000204842"
"3865" "ENSRNOG00000001258" "ENSG00000106266"
"3873" "ENSRNOG00000001260" "ENSG00000106268"
"3881" "ENSRNOG00000001261" "ENSG00000160282"
"3889" "ENSRNOG00000001265" "ENSG00000002822"
"3897" "ENSRNOG00000001269" "ENSG00000186298"
"3905" "ENSRNOG00000001270" "ENSG00000122986"
"3913" "ENSRNOG00000001271" "ENSG00000132357"
"3921" "ENSRNOG00000001272" "ENSG00000160294"
"3929" "ENSRNOG00000001273" "ENSG00000157778"
"3937" "ENSRNOG00000001274" "ENSG00000111237"
"3945" "ENSRNOG00000001275" "ENSG00000164855"
"3953" "ENSRNOG00000001276" "ENSG00000160299"
"3961" "ENSRNOG00000001277" "ENSG00000198517"
"3969" "ENSRNOG00000001278" "ENSG00000111231"
"3977" "ENSRNOG00000001283" "ENSG00000196510"
"3985" "ENSRNOG00000001285" "ENSG00000174437"
"3993" "ENSRNOG00000001287" "ENSG00000164850"
"4001" "ENSRNOG00000001288" "ENSG00000164849"
"4009" "ENSRNOG00000001289" "ENSG00000146540"
"4017" "ENSRNOG00000001293" "ENSG00000239857"
"4025" "ENSRNOG00000001294" "ENSG00000122970"
"4033" "ENSRNOG00000001296" "ENSG00000089041"
"4041" "ENSRNOG00000001297" "ENSG00000160310"
"4049" "ENSRNOG00000001299" "ENSG00000164828"
"4057" "ENSRNOG00000001300" "ENSG00000135124"
"4065" "ENSRNOG00000001302" "ENSG00000128271"
"4073" "ENSRNOG00000001303" "ENSG00000100014"
"4081" "ENSRNOG00000001304" "ENSG00000186716"
