Discovered in,Entrez,Symbol,Group,Model pvalue,AICc diff,Coefficients,R2(if applicable),subgroups
"acute,muscle",92912,UBE2Q2,training,2.45E-05,-9.536469954,"b0:-0.11(0.14),trainingresistance:0.46(2.5e-05)",56.27295637,"acute,muscle,training,2"
"acute,muscle",9915,ARNT2,time,0.000138761,-5.915337766,"b0:-0.17(0.0042),time.L:-0.38(8e-04),time.Q:-0.16(0.053)",50.02051665,"acute,muscle,time,2"
"acute,muscle",58489,ABHD17C,time,4.30E-08,-18.82963356,"b0:0.22(8.9e-09),time.L:0.45(5.1e-08),time.Q:0.28(5.7e-09)",99.99964375,"acute,muscle,time,1"
"acute,muscle",70,ACTC1,training,0.000165106,-10.49597294,"b0:0.071(0.81),trainingresistance:1.5(0.00017)",NA,"acute,muscle,training,2"
"acute,muscle",8925,HERC1,time;training,1.90E-05,-5.415055959,"b0:-0.063(0.2),time.L:-0.2(0.018),time.Q:-0.15(0.012),trainingresistance:-0.2(0.011)",62.0641476,"acute,muscle,time;training,1"
"acute,muscle",23604,DAPK2,training,0.000307392,-7.164924081,"b0:0.025(0.68),trainingresistance:-0.32(0.00031)",39.06776712,"acute,muscle,training,3"
"acute,muscle",1464,CSPG4,training,0.000134733,-9.286809444,"b0:0.028(0.82),trainingresistance:0.72(0.00013)",45.15713354,"acute,muscle,training,2"
"acute,muscle",3418,IDH2,training,7.50E-06,-8.829946461,"b0:0.033(0.1),trainingresistance:-0.13(7.5e-06)",93.09202162,"acute,muscle,training,3"
"acute,muscle",26063,DECR2,time,1.01E-05,-5.543912328,"b0:-0.053(0.00037),time.L:-0.14(2e-06),time.Q:0.017(0.44)",99.87182284,"acute,muscle,time,2"
"acute,muscle",84231,TRAF7,training,1.11E-05,-7.476373107,"b0:-0.074(0.017),trainingresistance:0.19(1.1e-05)",NA,"acute,muscle,training,1"
"acute,muscle",84256,FLYWCH1,training,1.35E-07,-6.928100849,"b0:0.047(0.0049),trainingresistance:-0.14(1.4e-07)",88.85521259,"acute,muscle,training,3"
"acute,muscle",51330,TNFRSF12A,time;training,1.83E-28,-9.842261975,"b0:0.035(0.94),time.L:-0.28(0.5),time.Q:-1(2.1e-05),trainingresistance:2.1(1.2e-13)",NA,"acute,muscle,time;training,1"
"acute,muscle",5373,PMM2,training,0.00037261,-6.508897985,"b0:0.053(0.25),trainingresistance:0.27(0.00037)",44.89774988,"acute,muscle,training,2"
"acute,muscle",255027,MPV17L,training,2.33E-07,-10.82920702,"b0:-0.011(0.72),trainingresistance:-0.26(2.3e-07)",88.08962174,"acute,muscle,training,3"
"acute,muscle",9961,MVP,time,0.000543508,-5.258421454,"b0:0.29(8.1e-06),time.L:0.43(0.00076),time.Q:0.2(0.025)",55.80070192,"acute,muscle,time,1"
"acute,muscle",84706,GPT2,time;training,9.15E-06,-6.158790878,"b0:-0.16(0.078),time.L:-0.39(0.013),time.Q:-0.2(0.066),trainingresistance:-0.35(0.015)",59.9752504,"acute,muscle,time;training,1"
"acute,muscle",1540,CYLD,base_model,1.05E-05,-10.77503973,b0:0.19(1.1e-05),NA,"acute,muscle,base_model,2"
"acute,muscle",728643,HNRNPA1P33,time,1.07E-07,-22.645461,"b0:0.18(1.5e-08),time.L:0.39(1.5e-08),time.Q:0.23(1.6e-08)",99.99989204,"acute,muscle,time,1"
"acute,muscle",9688,NUP93,time,8.36E-06,-5.028077318,"b0:0.057(0.012),time.L:0.11(0.012),time.Q:0.13(0.00019)",72.81309317,"acute,muscle,time,1"
"acute,muscle",6376,CX3CL1,time;avg_age,1.38E-16,-23.59485151,"b0:1.2(8e-05),time.L:-1.3(5.7e-15),time.Q:0.65(1.1e-08),avg_age:-0.027(0.006)",82.7698717,"acute,muscle,time;avg_age,1"
"acute,muscle",3299,HSF4,training,4.37E-06,-10.4914673,"b0:-0.013(0.69),trainingresistance:-0.23(4.4e-06)",72.46002278,"acute,muscle,training,3"
"acute,muscle",8996,NOL3,time,0.000300107,-5.360785501,"b0:-0.12(0.024),time.L:-0.35(0.00056),time.Q:-0.11(0.17)",44.55005032,"acute,muscle,time,2"
"acute,muscle",23417,MLYCD,time,8.23E-07,-11.90607007,"b0:-0.054(0.23),time.L:-0.35(6.6e-05),time.Q:-0.26(7.7e-05)",78.60081735,"acute,muscle,time,2 and longterm,muscle,training,2"
"acute,muscle",9764,KIAA0513,training,8.72E-05,-6.111875067,"b0:-0.015(0.64),trainingresistance:0.19(8.7e-05)",64.28081639,"acute,muscle,training,2"
"acute,muscle",10381,TUBB3,time,6.63E-05,-13.95330692,"b0:0.18(0.00037),time.L:0.24(0.00015),time.Q:0.16(1.2e-05)",NA,"acute,muscle,time,1"
"acute,muscle",2622,GAS8,training,5.45E-07,-7.764633906,"b0:-0.018(0.32),trainingresistance:-0.18(5.4e-07)",89.78758556,"acute,muscle,training,3"
"acute,muscle",1632,ECI1,time,0.000282962,-5.121514977,"b0:-0.15(0.0032),time.L:-0.35(0.00062),time.Q:-0.15(0.045)",52.06676053,"acute,muscle,time,2"
"acute,muscle",115,ADCY9,time,6.23E-08,-6.176446664,"b0:-0.13(7.9e-09),time.L:-0.18(2e-05),time.Q:-0.13(3.2e-05)",87.99535033,"acute,muscle,time,2"
"acute,muscle",55114,ARHGAP17,training,0.000429977,-5.820248313,"b0:0.017(0.65),trainingresistance:0.21(0.00043)",46.11228197,"acute,muscle,training,2"
"acute,muscle",23214,XPO6,time,0.000737886,-6.809447354,"b0:0.053(0.29),time.L:0.2(0.00028),time.Q:0.049(0.15)",NA,"acute,muscle,time,1"
"acute,muscle",91807,MYLK3,training,0.000145941,-6.852310458,"b0:-0.02(0.72),trainingresistance:-0.35(0.00015)",53.10330064,"acute,muscle,training,3"
"acute,muscle",1459,CSNK2A2,training,0.000272802,-5.801159328,"b0:-0.026(0.48),trainingresistance:0.21(0.00027)",49.21754886,"acute,muscle,training,2"
"acute,muscle",51647,CIAO2B,time,6.03E-06,-11.89905065,"b0:0.12(9.8e-05),time.L:0.3(1.9e-06),time.Q:0.18(2.9e-06)",75.97617451,"acute,muscle,time,1"
"acute,muscle",29109,FHOD1,time,0.000195073,-10.57936426,"b0:-0.15(0.0041),time.L:-0.3(0.00027),time.Q:-0.068(0.23)",NA,"acute,muscle,time,2"
"acute,muscle",197257,LDHD,time,1.52E-05,-9.023653925,"b0:-0.1(0.037),time.L:-0.33(0.00053),time.Q:-0.18(0.013)",63.80944169,"acute,muscle,time,2"
"acute,muscle",4597,MVD,training,2.05E-07,-13.52406883,"b0:0.0081(0.71),trainingresistance:-0.18(2.1e-07)",84.84048733,"acute,muscle,training,3"
"acute,muscle",333929,SNAI3,time,1.80E-10,-11.13020048,"b0:-0.13(0.25),time.L:-0.55(0.0021),time.Q:-0.4(0.00082)",NA,"acute,muscle,time,2"
"acute,muscle",863,CBFA2T3,training,7.01E-05,-6.827325348,"b0:0.046(0.0064),trainingresistance:-0.11(7e-05)",66.10945516,"acute,muscle,training,4"
"acute,muscle",9605,VPS9D1,time,5.91E-06,-8.422364179,"b0:-0.074(0.00082),time.L:-0.23(9.3e-07),time.Q:-0.052(0.066)",99.99961344,"acute,muscle,time,2"
"acute,muscle",443,ASPA,time;training,2.67E-06,-8.636465648,"b0:-0.076(0.27),time.L:-0.18(0.13),time.Q:-0.34(9.3e-05),trainingresistance:-0.29(0.0079)",65.44713825,"acute,muscle,time;training,1"
"acute,muscle",255877,BCL6B,time,4.21E-17,-22.9072488,"b0:0.16(0.0012),time.L:-0.72(9.9e-14),time.Q:0.47(3.8e-10)",85.01708558,"acute,muscle,time,4"
"acute,muscle",968,CD68,time,1.53E-05,-7.48050647,"b0:0.31(5.7e-06),time.L:0.49(0.00028),time.Q:0.23(0.025)",58.81493086,"acute,muscle,time,1"
"acute,muscle",5606,MAP2K3,training;avg_age,7.30E-05,-9.635511225,"b0:-0.41(0.0059),trainingresistance:0.3(0.0032),avg_age:0.016(0.00078)",NA,"acute,muscle,training;avg_age,1"
"acute,muscle",8557,TCAP,training,1.07E-10,-9.752659928,"b0:0.00057(0.97),trainingresistance:-0.18(1.1e-10)",99.99355127,"acute,muscle,training,3"
"acute,muscle",7283,TUBG1,time,7.00E-06,-7.399637401,"b0:0.028(0.57),time.L:0.2(0.037),time.Q:0.25(0.00037)",64.06072138,"acute,muscle,time,1"
"acute,muscle",92579,G6PC3,time,1.35E-08,-5.758822551,"b0:0.023(0.27),time.L:0.056(0.17),time.Q:0.16(1.6e-07)",88.54482854,"acute,muscle,time,1"
"acute,muscle",3837,KPNB1,time,2.86E-06,-7.209037336,"b0:0.085(0.00031),time.L:0.13(0.0037),time.Q:0.12(0.00038)",71.51997002,"acute,muscle,time,1"
"acute,muscle",4830,NME1,base_model,2.95E-06,-6.257412843,b0:0.13(2.9e-06),NA,"acute,muscle,base_model,2"
"acute,muscle",8493,PPM1D,training;avg_age,0.000482271,-5.444108343,"b0:-0.57(0.0054),trainingresistance:0.32(0.0032),avg_age:0.02(0.0016)",40.59869107,"acute,muscle,training;avg_age,1"
"acute,muscle",8877,SPHK1,base_model,1.79E-06,-7.778658036,b0:0.17(1.8e-06),NA,"acute,muscle,base_model,2"
"acute,muscle",9146,HGS,time,3.29E-06,-8.908046151,"b0:0.14(0.001),time.L:0.24(0.002),time.Q:0.2(5e-04)",NA,"acute,muscle,time,1"
"acute,muscle",8447,DOC2B,avg_age,0.000192208,-8.70729852,"b0:-0.51(0.00031),avg_age:0.019(0.00019)",42.79830044,"acute,muscle,avg_age,1"
"acute,muscle",83547,RILP,time,2.50E-06,-6.289590406,"b0:-0.11(0.00083),time.L:-0.28(4e-05),time.Q:-0.12(0.018)",81.29649291,"acute,muscle,time,2"
"acute,muscle",5026,P2RX5,training,0.000949405,-5.582573399,"b0:0.021(0.79),trainingresistance:0.39(0.00095)",38.27166121,"acute,muscle,training,2"
"acute,muscle",56919,DHX33,training,0.000208452,-16.13271245,"b0:-0.033(0.46),trainingresistance:0.28(0.00021)",NA,"acute,muscle,training,2"
"acute,muscle",51009,DERL2,training,0.000356855,-5.382692849,"b0:0.0012(0.98),trainingresistance:0.24(0.00036)",NA,"acute,muscle,training,2"
"acute,muscle",201140,DHRS7C,time,2.31E-12,-17.21519215,"b0:-0.34(4.5e-18),time.L:-0.53(1.8e-11),time.Q:-0.3(4.2e-08)",97.16430951,"acute,muscle,time,2"
"acute,muscle",5376,PMP22,time,0.00074808,-5.726090026,"b0:0.41(1e-05),time.L:-0.35(0.054),time.Q:-0.35(0.011)",39.16188341,"acute,muscle,time,3"
"acute,muscle",79148,MMP28,avg_age,0.000228067,-6.783637362,"b0:0.22(0.0013),avg_age:-0.0087(0.00023)",60.10946981,"acute,muscle,avg_age,1"
"acute,muscle",6605,SMARCE1,training,0.000197447,-6.077414452,"b0:-0.12(0.00011),trainingresistance:0.17(2e-04)",50.29627743,"acute,muscle,training,1"
"acute,muscle",9020,MAP3K14,time,1.77E-05,-6.205851087,"b0:0.14(1.2e-05),time.L:-0.06(0.3),time.Q:-0.17(1.9e-05)",NA,"acute,muscle,time,3"
"acute,muscle",10140,TOB1,time,1.22E-05,-9.433240113,"b0:-0.023(0.59),time.L:-0.35(2.2e-05),time.Q:-0.1(0.11)",62.59421158,"acute,muscle,time,4 and acute,blood,base_model,2"
"acute,muscle",7706,TRIM25,base_model,1.42E-08,-9.220651219,b0:0.21(1.4e-08),NA,"acute,muscle,base_model,2"
"acute,muscle",57513,CASKIN2,time,3.92E-19,-17.86787907,"b0:0.087(1.6e-06),time.L:-0.28(4.9e-17),time.Q:0.18(1.3e-09)",95.5267897,"acute,muscle,time,4"
"acute,muscle",5831,PYCR1,time,2.45E-08,-9.158857712,"b0:0.16(4e-08),time.L:-0.34(4.1e-09),time.Q:0.14(0.002)",75.89201531,"acute,muscle,time,4"
"acute,muscle",54941,RNF125,avg_age,0.000716096,-10.64469972,"b0:0.87(4e-04),avg_age:-0.027(0.00072)",NA,"acute,muscle,avg_age,1"
"acute,muscle",9306,SOCS6,training;avg_age,0.000963055,-5.065245182,"b0:-0.57(0.0094),trainingresistance:0.38(0.00082),avg_age:0.016(0.019)",37.05364934,"acute,muscle,training;avg_age,1"
"acute,muscle",55748,CNDP2,time,1.46E-06,-8.313311084,"b0:0.11(0.00055),time.L:0.23(3e-04),time.Q:0.16(0.00097)",73.42938264,"acute,muscle,time,1"
"acute,muscle",4772,NFATC1,avg_age,0.000801212,-5.912388511,"b0:-0.36(0.00048),avg_age:0.012(8e-04)",29.427984,"acute,muscle,avg_age,1 and longterm,muscle,prop_males,1"
"acute,muscle",4092,SMAD7,avg_age,8.39E-05,-8.67807448,"b0:-0.94(4.1e-05),avg_age:0.031(8.4e-05)",47.67060702,"acute,muscle,avg_age,1"
"acute,muscle",220441,RNF152,avg_age,1.17E-06,-13.37992079,"b0:-0.49(9.8e-07),avg_age:0.018(1.2e-06)",68.75661926,"acute,muscle,avg_age,1"
"acute,muscle",2531,KDSR,training,0.000192617,-6.048726961,"b0:-0.0044(0.72),trainingresistance:0.15(0.00019)",100,
"acute,muscle",4155,MBP,time,1.32E-15,-10.44766097,"b0:0.0084(0.88),time.L:-0.13(0.036),time.Q:-0.31(1.7e-15)",NA,"acute,muscle,time,3"
"acute,muscle",997,CDC34,training,1.90E-05,-7.348696314,"b0:0.072(0.0057),trainingresistance:-0.17(1.9e-05)",76.64014743,"acute,muscle,training,4"
"acute,muscle",1265,CNN2,time,1.59E-05,-6.716142376,"b0:0.21(5.5e-06),time.L:-0.37(6.7e-05),time.Q:0.25(0.00026)",60.10831653,"acute,muscle,time,4"
"acute,muscle",92840,REEP6,avg_age,0.000604874,-5.572790717,"b0:0.16(0.00055),avg_age:-0.006(6e-04)",NA,"acute,muscle,avg_age,1 and longterm,muscle,avg_age,1"
"acute,muscle",51129,ANGPTL4,time;avg_age,2.15E-07,-16.15488819,"b0:-1.1(0.073),time.L:0.81(7e-05),time.Q:-0.65(5.1e-08),avg_age:0.048(0.012)",NA,"acute,muscle,time;avg_age,1"
"acute,muscle",3949,LDLR,time,3.57E-07,-11.89063607,"b0:0.34(8.6e-07),time.L:-0.61(6.7e-06),time.Q:0.41(6.2e-05)",60.11220427,"acute,muscle,time,4"
"acute,muscle",3726,JUNB,training,1.47E-09,-15.21352742,"b0:1.3(2.9e-06),trainingresistance:-1.1(1.5e-09)",NA,"acute,muscle,training,4"
"acute,muscle",2639,GCDH,training,4.03E-05,-8.892675428,"b0:0.06(0.15),trainingresistance:-0.19(4e-05)",NA,"acute,muscle,training,3"
"acute,muscle",8907,AP1M1,time,1.78E-07,-11.85885705,"b0:0.12(0.0043),time.L:0.23(0.00069),time.Q:0.18(0.00022)",NA,"acute,muscle,time,1"
"acute,muscle",10365,KLF2,time,4.71E-06,-9.688026722,"b0:0.14(0.1),time.L:-0.69(3.9e-05),time.Q:0.48(0.00011)",58.62093181,"acute,muscle,time,4"
"acute,muscle",374887,YJEFN3,training,0.000141834,-7.131263326,"b0:0.054(0.016),trainingresistance:-0.14(0.00014)",71.63097323,"acute,muscle,training,3"
"acute,muscle",56242,ZNF253,training,1.81E-06,-10.07413644,"b0:0.11(0.2),trainingresistance:-0.36(1.8e-06)",NA,"acute,muscle,training,3"
"acute,muscle",4037,LRP3,time,1.50E-05,-5.005843836,"b0:-0.075(0.00066),time.L:-0.2(8.5e-06),time.Q:-0.018(0.57)",100,"acute,muscle,time,2"
"acute,muscle",6324,SCN1B,training,2.32E-06,-11.64232757,"b0:0.045(0.19),trainingresistance:-0.25(2.3e-06)",79.99354095,"acute,muscle,training,3"
"acute,muscle",163255,ZNF540,time,8.52E-06,-8.259098699,"b0:0.014(0.73),time.L:-0.19(1.3e-05),time.Q:-0.12(1e-05)",NA,"acute,muscle,time,2"
"acute,muscle",23094,SIPA1L3,time,9.88E-10,-7.548573113,"b0:-0.025(0.041),time.L:-0.16(8.4e-10),time.Q:-0.076(1.3e-06)",100,"acute,muscle,time,3"
"acute,muscle",8425,LTBP4,time,7.38E-10,-8.915450961,"b0:-0.22(3.7e-18),time.L:-0.28(5.7e-09),time.Q:-0.14(0.00015)",96.43105617,"acute,muscle,time,2"
"acute,muscle",53916,RAB4B,time,8.47E-08,-10.53478351,"b0:0.065(0.0015),time.L:0.19(2.7e-06),time.Q:0.1(0.00072)",82.4243977,"acute,muscle,time,1"
"acute,muscle",53635,PTOV1,time,4.44E-08,-8.626656969,"b0:-0.098(6.1e-05),time.L:-0.27(1.6e-08),time.Q:-0.063(0.084)",90.16365232,"acute,muscle,time,2"
"acute,muscle",147807,ZNF524,time,1.07E-07,-5.12711902,"b0:-0.067(0.0013),time.L:-0.18(1e-05),time.Q:-0.08(0.0085)",96.05917722,"acute,muscle,time,2"
"acute,muscle",390980,ZNF805,training,6.91E-08,-6.925767226,"b0:-0.015(0.44),trainingresistance:0.18(6.9e-08)",100,"acute,muscle,training,2"
"acute,muscle",2872,MKNK2,time,9.41E-06,-8.007013821,"b0:0.13(0.0011),time.L:-0.15(0.053),time.Q:-0.21(6.7e-05)",NA,"acute,muscle,time,3"
"acute,muscle",126306,JSRP1,training,2.36E-12,-12.21741407,"b0:0.018(0.21),trainingresistance:-0.25(2.4e-12)",100,"acute,muscle,training,3"
"acute,muscle",1786,DNMT1,time;avg_age,9.21E-07,-7.62119388,"b0:0.47(0.00089),time.L:0.13(0.13),time.Q:0.27(3.7e-06),avg_age:-0.011(0.013)",76.73019057,"acute,muscle,time;avg_age,1"
"acute,muscle",3337,DNAJB1,time,0.000241008,-5.034673588,"b0:0.3(0.00099),time.L:-0.7(1e-04),time.Q:0.3(0.026)",58.54022806,"acute,muscle,time,4"
"acute,muscle",4713,NDUFB7,time;training,2.63E-09,-7.333186103,"b0:-0.043(0.16),time.L:-0.15(0.0017),time.Q:-0.091(0.013),trainingresistance:-0.18(0.00019)",94.68205281,"acute,muscle,time;training,1"
"acute,muscle",126375,ZNF792,avg_age,0.000158755,-7.490076479,"b0:0.39(0.00022),avg_age:-0.014(0.00016)",62.82694717,"acute,muscle,avg_age,1"
"acute,muscle",163175,LGI4,training,0.000937383,-7.314402633,"b0:0.017(0.74),trainingresistance:-0.16(0.00094)",NA,"acute,muscle,training,3"
"acute,muscle",126393,HSPB6,time,0.000220381,-5.99966072,"b0:-0.084(0.29),time.L:-0.38(0.003),time.Q:-0.13(0.14)",NA,"acute,muscle,time,2"
"acute,muscle",8193,DPF1,time,0.000149825,-5.687366682,"b0:-0.051(5e-05),time.L:-0.1(0.00011),time.Q:-0.062(5.5e-05)",99.99620885,"acute,muscle,time,2"
"acute,muscle",3960,LGALS4,avg_age,0.000249169,-5.915058206,"b0:-0.39(0.00071),avg_age:0.015(0.00025)",NA,"acute,muscle,avg_age,1"
"acute,muscle",9535,GMFG,time,0.000584277,-5.305391382,"b0:-0.0081(0.9),time.L:0.39(0.0027),time.Q:0.17(0.087)",49.66235002,"acute,muscle,time,1"
"acute,muscle",29950,SERTAD1,time,0.000107487,-7.242068639,"b0:0.25(0.067),time.L:-0.39(0.026),time.Q:-0.32(0.0058)",NA,"acute,muscle,time,4"
"acute,muscle",2077,ERF,time,4.63E-14,-17.35423749,"b0:0.19(1.1e-05),time.L:-0.56(2.2e-11),time.Q:0.38(2.9e-10)",84.15376915,"acute,muscle,time,4"
"acute,muscle",4909,NTF4,training,1.83E-06,-8.949061263,"b0:-0.032(0.28),trainingresistance:-0.26(1.8e-06)",74.84305476,"acute,muscle,training,3"
"acute,muscle",112703,FAM71E1,training,2.14E-06,-7.803850725,"b0:0.023(0.41),trainingresistance:-0.25(2.1e-06)",86.85215188,
"acute,muscle",3398,ID2,time,2.23E-07,-14.74030907,"b0:0.18(0.034),time.L:-0.71(7.4e-06),time.Q:0.52(5.3e-08)",NA,"acute,muscle,time,4"
"acute,muscle",23175,LPIN1,time,7.04E-10,-20.26534209,"b0:-0.021(0.73),time.L:-0.29(0.001),time.Q:-0.35(1.5e-09)",NA,"acute,muscle,time,2"
"acute,muscle",165324,UBXN2A,training;avg_age,0.00088548,-7.693512014,"b0:-0.54(0.00027),trainingresistance:0.3(0.0099),avg_age:0.014(0.0059)",NA,"acute,muscle,training;avg_age,1"
"acute,muscle",3032,HADHB,training,7.47E-05,-5.195735249,"b0:0.061(0.061),trainingresistance:-0.2(7.5e-05)",72.92548404,"acute,muscle,training,3"
"acute,muscle",54867,TMEM214,training,1.57E-10,-7.728684785,"b0:-0.042(0.59),trainingresistance:0.37(1.6e-10)",NA,"acute,muscle,training,2"
"acute,muscle",7360,UGP2,avg_age,8.87E-05,-9.040100936,"b0:-0.45(0.00046),avg_age:0.017(8.9e-05)",48.17124881,"acute,muscle,avg_age,1"
"acute,muscle",8291,DYSF,time,0.000886474,-6.880708647,"b0:0.18(0.0077),time.L:0.36(0.00023),time.Q:0.094(0.14)",NA,"acute,muscle,time,1"
"acute,muscle",4144,MAT2A,time,7.68E-05,-9.137247326,"b0:0.085(0.34),time.L:-0.52(0.0027),time.Q:-0.32(0.016)",47.21537264,"acute,muscle,time,3"
"acute,muscle",51318,MRPL35,time;training,1.04E-07,-7.833583874,"b0:0.033(0.41),time.L:-0.037(0.61),time.Q:-0.24(2.3e-06),trainingresistance:-0.21(0.00098)",79.52523,"acute,muscle,time;training,1 and longterm,muscle,avg_age,1"
"acute,muscle",9669,EIF5B,training,0.00021033,-5.617008356,"b0:-0.0044(0.91),trainingresistance:0.19(0.00021)",NA,"acute,muscle,training,2"
"acute,muscle",10096,ACTR3,time,2.48E-08,-16.11211201,"b0:0.22(1.3e-07),time.L:0.36(1.7e-05),time.Q:0.28(2.1e-06)",80.22821674,"acute,muscle,time,1"
"acute,muscle",92856,IMP4,time;avg_age,2.04E-08,-9.925873562,"b0:0.36(1.2e-05),time.L:-0.062(0.2),time.Q:0.2(3.5e-09),avg_age:-0.0095(0.00022)",84.24111754,"acute,muscle,time;avg_age,1"
"acute,muscle",55041,PLEKHB2,base_model,0.000541723,-5.236233951,b0:0.1(0.00054),NA,"acute,muscle,base_model,2"
"acute,muscle",6744,ITPRID2,training,0.000152559,-5.467128697,"b0:-0.069(0.00078),trainingresistance:0.13(0.00015)",91.29419514,
"acute,muscle",54431,DNAJC10,time,2.92E-06,-6.548252091,"b0:0.0026(0.91),time.L:0.22(1.5e-06),time.Q:0.0066(0.84)",85.268862,"acute,muscle,time,1"
"acute,muscle",84128,WDR75,training,4.79E-05,-7.559592537,"b0:-0.0011(0.97),trainingresistance:0.21(4.8e-05)",65.14146255,"acute,muscle,training,2"
"acute,muscle",8527,DGKD,training;avg_age,0.000102105,-7.238375509,"b0:-0.43(0.067),trainingresistance:0.51(4e-05),avg_age:0.015(0.039)",50.43424655,"acute,muscle,training;avg_age,1"
"acute,muscle",57007,ACKR3,training,0.000680137,-6.168068235,"b0:0.29(0.0064),trainingresistance:-0.54(0.00068)",43.02050404,"acute,muscle,training,4"
"acute,muscle",10267,RAMP1,time,0.000120057,-6.079759665,"b0:-0.13(0.0017),time.L:-0.3(0.00022),time.Q:-0.086(0.15)",51.37292351,"acute,muscle,time,2"
"acute,muscle",81553,FAM49A,training;avg_age,2.40E-06,-9.739023636,"b0:-0.29(0.023),trainingresistance:0.3(5e-07),avg_age:0.0094(0.023)",63.38572004,"acute,muscle,training;avg_age,1"
"acute,muscle",8890,EIF2B4,training,2.71E-06,-9.212802757,"b0:0.0097(0.74),trainingresistance:0.22(2.7e-06)",66.21955559,"acute,muscle,training,2"
"acute,muscle",9637,FEZ2,time,4.74E-05,-6.125391575,"b0:-0.14(0.00093),time.L:-0.25(0.0029),time.Q:-0.18(0.0036)",53.36749366,"acute,muscle,time,2"
"acute,muscle",6801,STRN,training,1.44E-08,-16.55247853,"b0:-0.067(0.096),trainingresistance:0.36(1.4e-08)",71.33865715,"acute,muscle,training,2"
"acute,muscle",10602,CDC42EP3,base_model,0.000428817,-8.417827709,b0:0.13(0.00043),NA,"acute,muscle,base_model,2"
"acute,muscle",9581,PREPL,time,7.65E-05,-6.700952362,"b0:0.22(2.5e-05),time.L:0.34(0.00089),time.Q:0.17(0.031)",59.33310411,"acute,muscle,time,1"
"acute,muscle",90423,ATP6V1E2,time,9.40E-06,-8.114721882,"b0:-0.088(0.015),time.L:-0.24(0.00093),time.Q:-0.14(0.01)",68.43667196,"acute,muscle,time,2"
"acute,muscle",25927,CNRIP1,training,2.90E-05,-10.11996515,"b0:-0.019(0.63),trainingresistance:0.31(2.9e-05)",57.85526876,"acute,muscle,training,2"
"acute,muscle",1961,EGR4,time;training,9.97E-16,-50.69396078,"b0:0.069(4.3e-06),time.L:-0.2(2.7e-10),time.Q:0.085(4.2e-06),trainingresistance:-0.073(0.00063)",NA,"acute,muscle,time;training,1"
"acute,muscle",8869,ST3GAL5,time,2.31E-11,-6.907448496,"b0:-0.021(0.78),time.L:-0.4(1.8e-06),time.Q:-0.29(1.9e-08)",NA,"acute,muscle,time,2"
"acute,muscle",9451,EIF2AK3,training,0.000898035,-6.918731796,"b0:0.14(0.31),trainingresistance:0.67(9e-04)",33.59184355,"acute,muscle,training,2"
"acute,muscle",81562,LMAN2L,training,2.44E-05,-8.308973929,"b0:0.062(0.17),trainingresistance:-0.27(2.4e-05)",54.67498727,"acute,muscle,training,3"
"acute,muscle",11138,TBC1D8,time,4.69E-08,-8.122445652,"b0:0.088(0.18),time.L:-0.27(0.00059),time.Q:-0.27(5.7e-08)",NA,"acute,muscle,time,3"
"acute,muscle",284996,RNF149,training,0.000102642,-7.67404245,"b0:0.027(0.66),trainingresistance:0.39(1e-04)",52.69619954,"acute,muscle,training,2"
"acute,muscle",2274,FHL2,time;avg_age,3.81E-07,-9.795643829,"b0:-0.72(0.0028),time.L:-0.27(0.047),time.Q:-0.29(0.0028),avg_age:0.022(0.0041)",65.01009986,"acute,muscle,time;avg_age,1"
"acute,muscle",10254,STAM2,time,1.59E-06,-9.363558415,"b0:0.064(0.0013),time.L:0.12(0.0015),time.Q:0.13(1.1e-05)",89.65080214,"acute,muscle,time,1"
"acute,muscle",4929,NR4A2,time;avg_age,2.22E-06,-14.36230403,"b0:-0.25(0.73),time.L:-1.5(0.00065),time.Q:0.9(0.0025),avg_age:0.039(0.096)",58.1419824,"acute,muscle,time;avg_age,1"
"acute,muscle",8604,SLC25A12,time,5.93E-06,-10.56182384,"b0:-0.27(1.3e-06),time.L:-0.39(0.00053),time.Q:-0.25(0.0024)",56.05767746,"acute,muscle,time,2"
"acute,muscle",64172,OSGEPL1,training,0.000130996,-5.597134147,"b0:0.0079(0.89),trainingresistance:-0.22(0.00013)",NA,"acute,muscle,training,3"
"acute,muscle",7277,TUBA4A,time,1.97E-05,-8.129848583,"b0:-0.023(0.72),time.L:0.17(0.21),time.Q:0.34(3e-05)",NA,"acute,muscle,time,1"
"acute,muscle",100130449,LOC100130449,training,4.59E-06,-13.83843168,"b0:-0.00074(0.74),trainingresistance:-0.11(4.6e-06)",NA,
"acute,muscle",3704,ITPA,time;avg_age,2.83E-10,-13.26116376,"b0:0.55(2.2e-05),time.L:0.045(0.52),time.Q:0.24(4.6e-07),avg_age:-0.014(0.00094)",83.83225997,"acute,muscle,time;avg_age,1"
"acute,muscle",57419,SLC24A3,time,1.34E-10,-11.07114647,"b0:-0.13(4.2e-10),time.L:-0.29(2e-11),time.Q:-0.16(8.5e-11)",99.80886261,"acute,muscle,time,2"
"acute,muscle",3397,ID1,time,7.47E-20,-25.77489085,"b0:0.28(9.6e-05),time.L:-1.1(3.6e-15),time.Q:0.77(1.2e-12)",88.21066099,"acute,muscle,time,4"
"acute,muscle",85366,MYLK2,time,0.000165028,-8.300071209,"b0:-0.44(6.6e-05),time.L:-0.71(0.0011),time.Q:-0.29(0.07)",47.34684909,"acute,muscle,time,2"
